No,Nama RS,Provinsi,Kota,Alamat,Telepon
2477,RS. PANTI SECANTI,LAMPUNG,BANDAR LAMPUNG,"JL. RAYA GISTING KEC GISTING, KAB. TANGGAMUS",0729-347553
2478,OPTIK MELAWAI KEMILING LAMPUNG,LAMPUNG,BANDAR LAMPUNG,"JL. TEUKU CIK DI TIRO NO. 15, KEL. BERINGIN RAYA, KEC. KEMILING, KOTA. BANDAR LAMPUNG, LAMPUNG",0858 4069 5608
2479,OPTIK MELAWAI BUMI KEDATON MALL,LAMPUNG,BANDAR LAMPUNG,BOEMI KEDATON MALL LT.1 - L#30,0721-8015535||
2480,OPTIK MELAWAI MALL KARTINI LAMPUNG,LAMPUNG,BANDAR LAMPUNG,Kartini Mall LT. DASAR BLOK B 1/5,0721-252176
2481,OPTIK SEIS BOEMI KEDATON MALL,LAMPUNG,BANDAR LAMPUNG,"LANTAI 1 NO. L32 JL.  TEUKU UMAR - SULTAN AGUNG NO. 1 KEDATON, BANDAR LAMPUNG",(0721) 8015532|
2482,OPTIK INTERNASIONAL TANJUNG KARANG 1,LAMPUNG,BANDAR LAMPUNG,JL. PEMUDA NO. 29-C/33 BANDAR LAMPUNG,0721-253079/08889726321|
2483,THC LAMPUNG (TELKOMEDIKA LAMPUNG),LAMPUNG,BANDAR LAMPUNG,EX. GEDUNG PLASA TELKOM JL.  SULTAN AGUNG NO.1,0721-704999|
2484,RS. BUDI MEDIKA,LAMPUNG,BANDAR LAMPUNG,"JL. YOS SUDARSO NO.85, BUMI WARAS",0721 - 6015000 / 6016888|
2485,KLINIK PELABUHAN PANJANG,LAMPUNG,BANDAR LAMPUNG,JL.YOS SUDARSO NO.337 PANJANG BANDAR LAMPUNG,081272090707||
2486,OPTIK SEIS LAMPUNG CITY MALL,LAMPUNG,BANDAR LAMPUNG,"JL. YOS SUDARSO NO.85, BUMI WARAS, TELUK BETUNG, BANDAR LAMPUNG ( LANTAI LOBBY NO.L-01B)",0721-9650202|
2487,LAB KF LAMPUNG,LAMPUNG,BANDAR LAMPUNG,JL. GAJAH MADA NO.76 E TANJUNG KARANG TIMUR,0721-269901||
2488,KLINIK KF.0256 - WAY HALIM,LAMPUNG,BANDAR LAMPUNG,JL. ARIF RAHMAN HAKIM PERUM BTN III BLOK TR NO. 2 WAY HALIM PERMAI,0721-5616410|
2489,RS. AIRAN RAYA,LAMPUNG,LAMPUNG SELATAN,JL. AIRAN RAYA NO.99 WAY HUI,0721-561 7799||
2490,RS. NATAR MEDIKA (YADIKA GROUP),LAMPUNG,LAMPUNG SELATAN,"JL.  RAYA NATAR NO. 04 MUARA PUTIH, KEC NATAR LAMPUNG SELATAN",0721-92521/92519|
2491,PRODIA METRO,LAMPUNG,METRO,Jl. Jend Sudirman No. 37 Lampung,'0725-7855205
2492,RS. MARDI WALUYO,LAMPUNG,METRO,JL. JEND.SUDIRMAN NO.156 KOTA METRO,0725-42512/44980
2493,OPTIK MELAWAI METRO LAMPUNG,LAMPUNG,METRO,"JL. JEND SUDIRMAN, KOMPLEK PERTOKOAN SUMUR BANDUNG, KEL. IMUPURO, KEC. METRO PUSAT , KOTA METRO, PROVINSI LAMPUNG",
2494,RS. SURYA ASIH PRINGSEWU,LAMPUNG,PRINGSEWU,JL. JEND.AHMAD YANI NO.51,0729 - 21162 / 22036|
2495,OPTIK MELAWAI A. Y. PATTY AMBON,MALUKU,AMBON,"JL. A.Y. PATTY UNIT 86 KEL. HONIPOPU KEC. SIRIMAU KOTA AMBON, MALUKU",
2496,RS. BHAKTI RAHAYU AMBON,MALUKU,AMBON,Jl.  Batu Kerbau. Belakang Rri,'0911-342746
2497,LAB. PRODIA AMBON,MALUKU,AMBON,Jl. Anthony Rhebok No.1 B-C,'0911-348071
2498,SILOAM HOSPITALS AMBON (Hanya Berlaku Sistem Reimbursement),MALUKU,AMBON,"JL. SULTAN HASANUDDIN, HATIVE KECIL, SIRIMAU",0911-3811900|
2499,RSUP DR.JOHANNES LEIMENA AMBON,MALUKU,AMBON,"JL. R.SUPRAPTO NO.123 RUMAH TIGA, TELUK AMBON",0911-3687119||
2500,KIMIA FARMA DIAGNOSTIKA AMBON,MALUKU,AMBON,JL. DIPONEGORO NO.66,08114709556/082338953555||
2501,OPTIK MELAWAI MALUKU CITY MALL,MALUKU,AMBON,UG BLOK H NO.16,0911-315998
2502,OPTIK INTERNASIONAL TOBELO,MALUKU,HALMAHERA UTARA,JL.KEMAKMURAN DESA GAMSUMI - TOBELO - HALMAHERA UTARA - MALUKU UTARA,0924-2621788|
2503,OPTIK MELAWAI JATILAND BUSINESS CENTER,MALUKU,TERNATE,"Jatiland Mall GF No. 16-17, Ternate",0921-3123015
2504,OPTIK MELAWAI RAYA MANGGA DUA TERNATE,MALUKU UTARA,TERNATE,"JL. RAYA MANGGA DUA NO 760 RT 14 RW 04,DESA/KELURAHAN MANGGA DUA UTARA, KEC. KOTA TERNATE SELATAN, KOTA TERNATE, PROVINSI MALUKU UTARA",
2505,LAB. KLINIK PRODIA TERNATE,MALUKU UTARA,TERNATE,Jl.  A. Mononutu No:21 Ternate. Maluku Utara,'0921-3111246
2506,RS. PRIMA TERNATE,MALUKU UTARA,TERNATE,JL. RAYA MANGGA DUA,082292112020|
2507,LAB KF TERNATE,MALUKU UTARA,TERNATE,JL. HASAN ESA NO.151 TAKOMA,08114313343 / 08213119657/08539402582||
2508,KLINIK KF.BASTIONG,MALUKU UTARA,TERNATE,JL. RAYA BASTIONG NO.108,0921-3126646|
2509,RS. PERTAMEDIKA UMMI ROSNATI,NAD,BANDA ACEH,Jl. Sekolah Mo. 5 Gampong Ateuk Pahlaawn Kec. Baiturrahman Kota Banda Aceh,'(0651) 35092
2510,KLINIK PRODIA BANDA ACEH,NAD,BANDA ACEH,Jl.  T.H.M. Daud Beureuh No. 45 B-C. Banda Aceh 23126,'(0651) 23823. 637807
2511,OPTIK MELAWAI HERMES PALACE MALL,NAD,BANDA ACEH,Hermes Palace Mall GF Zona B Unit 12 & 15,0651-7557555
2512,OPTIK MELAWAI RUKO PANGLIMA POLEM ACEH,NAD,BANDA ACEH,"JL. T . PANGLIMA POLEM NO.139, PEUNAYONG, BANDA ACEH",0651-635063
2513,OPTIK INTERNASIONAL ACEH 1,NAD,BANDA ACEH,JL. TENGKU PANGLIMA POLEM NO. 58 (SEBELAH BCA),0651-26616|
2514,OPTIK INTERNASIONAL ACEH 4,NAD,BANDA ACEH,JALAN TENGKU HASAN DEK NO. 92-93 BANDA ACEH,0651-6300695|
2515,OPTIK INTERNASIONAL ACEH 2,NAD,BANDA ACEH,JL. PANTE PIRAK NO. 13 (JL. THM. DAUD BEUREUEH NO.13-DULU),0651-635912|
2516,OPTIK SEIS SUZUYA MALL BANDA ACEH,NAD,BANDA ACEH,"JL. TEUKU UMAR, LAMTEUMEN, KOTA BANDA ACEH",0651-8084385|
2517,LAB KF ACEH,NAD,BANDA ACEH,"JL. TGK. IMUM LUENG BATA NO. 47-48 GP. BLANG CUT, KEC. LUENG BATA",0651-7317558||
2518,KLINIK KF.0037 - DIPONEGORO,NAD,BANDA ACEH,JL. DIPONEGORO NO. 8,0651-21559|
2519,KLINIK JEUMPA PUTEH EYE CENTER,NAD,BANDA ACEH,"JL. MR.MOH. HASAN, NO.106, KEL.BLANG CUT, KEC. LUENG BATA",0813-6028-8814|
2520,RS. TEUNGKU FAKINAH,NAD,BANDA ACEH,JL. JEND. SUDIRMAN NO.27-29,0651-41454 / 081377028888
2521,OPTIK MELAWAI RUKO BATOH ACEH,NAD,BANDA ACEH,"JL. DR. MR. TEUKU H MOEHAMMAD HASAN ( BATOH ) NO. 7-8 KEL. LAMDOM, KEC. LUENG BATA, KOTA BANDA ACEH, PROVINSI ACEH",0815 1944 5088
2522,RS HERMINA ACEH,NAD,ACEH BESAR,Jl. Soekarno Hatta Kec. Ingin Jaya,0651-8072525
2523,OPTIK INTERNASIONAL BIREUN 1,NAD,BIREUN,JL.ISKANDAR MUDA NO.103 BIEREUEN-NAD,0644-22287|
2524,OPTIK INTERNASIONAL KUTACANE,NAD,KUTACANE,JL. A. YANI NO. 23 G (SAMPING RS NURUL HASANAH) PULOKEMIRI KUTACANE ACEH TENGGARA,0629-2527029|
2525,OPTIK INTERNASIONAL LANGSA,NAD,LANGSA,JL. A YANI  KEL.GAMPONG TEUNGOH.KEC.LANGSA KOTA LANGSA-ACEH TIMUR,0641-22611|
2526,KLINIK KF.0081 - LANGSA,NAD,LANGSA,JL. T.M. ZEIN NO. 1 E,0641-21020|
2527,OPTIK INTERNASIONAL LHOKSEUMAWE,NAD,LHOKSEUMAWE,JL. SUKARAMAI NO. 28 LHOKSEUMAWE ACEH UTARA,0645-6500610|
2528,LAB. PRODIA LHOKSEUMAWE,NAD,LHOKSEUMAWE,Jl. Merdeka No. 18 Lhokseumawe ( Depan Telkom ),'0645-47205
2529,OPTIK MELAWAI RUKO LHOKSEUMAWE ACEH,NAD,LHOKSEUMAWE,"JL. MERDEKA NO. 5-6, KEL. SIMPANG EMPAT, KEC. BANDA SAKTI, KOTA LHOKSEUMAWE PROVINSI ACEH",0815 2910 5559
2530,RS. PERTAMINA LAPANGAN EP RANTAU,NAD,KUALA SIMPANG,Jl.  Cepu Komp. Pertamina Rantau - Kuala Simpang,'0641-31165
2531,KLINIK CEMPAKA LIMA MEULABOH,NAD,MEULABOH,JL. SWADAYA NO 39 F/39 G MEULABOH,082361103699/08116822077/08126980242|
2532,OPTIK INTERNASIONAL MEULABOH,NAD,MEULABOH,JL. NASIONAL NO.23 LK.II SEULANGA KEL. DRIAN RAMPAK KEC. JOHAN PAHLAWAN,0655-7551018|
2533,OPTIK INTERNASIONAL TAKENGON,NAD,TAKENGON,JL.SENGEDA TAKENGON ACEH TENGAH,0643-2625245|
2534,RS. SWASTA MONTELLA,NAD,ACEH BARAT,"JL. BERINGIN JAYA SAMPING MESJID AGUNG, SEUNEUBOK, JOHAN PAHLAWAN",(0655) 7110645|
2535,KLINIK KF.TAPAKTUAN,NAD,ACEH SELATAN,"JL. MERDEKA NO. 50, TAPAKTUAN",0656-2310677|
2536,RS. HARAPAN KELUARGA MATARAM,NUSA TENGGARA BARAT (NTB),LOMBOK,Jl. Ahmad Yani No. 9 Selagalas. Sandubaya. Mataram,'0370-6177000 / 6177020 / 6177027 / 670000
2537,OPTIK INTERNASIONAL LOMBOK 1,NUSA TENGGARA BARAT (NTB),LOMBOK,JL. PEJANGGIK CAKRANEGARA NO. 24,0370-631854|
2538,OPTIK INTERNASIONAL LOMBOK 2,NUSA TENGGARA BARAT (NTB),LOMBOK,JL. PEJANGGIK CAKRANEGARA BLOK C-4,0370-631262|
2539,OPTIK MELAWAI PANCOR SELONG LOMBOK,NUSA TENGGARA BARAT (NTB),LOMBOK TIMUR,"JL TGH ZAINUDIN ABDUL MAJID, KEL. PACOR KEC. SELONG, KOTA LOMBOK TIMUR, PROVINSI NUSA TENGGARA BARAT",0815-1960-4871
2540,KLINIK KF.0660 - SENGGIGI,NUSA TENGGARA BARAT (NTB),LOMBOK BARAT,"JL. RAYA SENGGIGI KM 8, KEC BATU LAYAR",0370-6195268|
2541,OPTIK INTERNASIONAL DOMPU,NUSA TENGGARA BARAT (NTB),DOMPU,JL. JEND. SUDIRMAN NO. 39,082341590269
2542,OPTIK INTERNASIONAL SELONG,NUSA TENGGARA BARAT (NTB),SELONG,JL. TEUKU HM ZAINUDIN ABDUL MAJID NO.82,0376-2929242|
2543,Siloam Hospitals Mataram (Hanya Berlaku Sistem Reimbursement),NUSA TENGGARA BARAT (NTB),MATARAM,Jl. Majapahit No. 10. Mataram,'(0370) 623999; 628111
2544,RSIA. PERMATA HATI MATARAM,NUSA TENGGARA BARAT (NTB),MATARAM,Jl. Majapahit No 10,'0370-631999
2545,KLINIK PRODIA MATARAM,NUSA TENGGARA BARAT (NTB),MATARAM,Jl. Pejanggik No. 107,'0370-635248; 635010
2546,OPTIK MELAWAI LOMBOK EPICENTRUM MALL,NUSA TENGGARA BARAT (NTB),MATARAM,GF NO.57,
2547,OPTIK MELAWAI LOMBOK MALL,NUSA TENGGARA BARAT (NTB),MATARAM,LT. DASAR BLOK L,0370-629884
2548,OPTIK SEIS LOMBOK EPICENTRUM MALL,NUSA TENGGARA BARAT (NTB),MATARAM,"GROUND FLOOR NO. GF-11 JI. SRIWIJAYA NO.333 MATARAM, LOMBOK - NTB",(0370) 6172076|
2549,KLINIK KF.0134 - PEJANGGIK,NUSA TENGGARA BARAT (NTB),MATARAM,"JL. PEJANGGIK 48D, KEC CAKRANEGARA",0370-638502|
2550,KLINIK KF.0189 - SRIWIJAYA,NUSA TENGGARA BARAT (NTB),MATARAM,"JL. SRIWIJAYA 295, KEC PAGESANGAN",0370-633211|
2551,LAB KLINIK KF MATARAM,NUSA TENGGARA BARAT (NTB),MATARAM,"JL. SRIWIJAYA NO. 69, SAPTA MARGA, KEC. CAKRANEGARA, KOTA MATARAM, NUSA TENGGARA BARAT",081999008261|
2552,OPTIK TUNGGAL LOMBOK EPICENTRUM MALL (LOM),NUSA TENGGARA BARAT (NTB),MATARAM,JL. SRIWIJAYA NO.333 – 83127 Ground Floor No.56,0370-617 2056||
2553,OPTIK TUNGGAL MALL MATARAM 2 (MML),NUSA TENGGARA BARAT (NTB),MATARAM,JL.PEJANGGIK MATARAM Lt.1 unit 1 & 2,0370-633 889||
2554,OPTIK MELAWAI SRIWIJAYA MATARAM,NUSA TENGGARA BARAT (NTB),MATARAM,"JL. SRIWIJAYA NO. 78 C, MATARAM, KEL. SAPTA MARGA, KEC. CAKRANEGARA, KOTA MATARAM, PROVINSI NUSA TENGGARA BARAT",0815-1960-4872
2555,LAB. PRODIA BIMA,NUSA TENGGARA BARAT (NTB),BIMA,Jl. Soekarno Hatta No. 39 D Bima,'0374-646910
2556,RSUD SUMBAWA BESAR,NUSA TENGGARA BARAT (NTB),SUMBAWA,JL. GARUDA NO. 5 SUMBAWA BESAR,0371-21929/21078/23886|
2557,OPTIK MELAWAI ADAM MALIK BELU,NUSA TENGGARA TIMUR (NTT),SUMBA TIMUR,"JL. ADAM MALIK, KEL. BERDAO, KEC. ATAMBUA BARAT, KAB. BELU, NUSA TENGGARA TIMUR",0815-1981-1187
2558,OPTIK MELAWAI TUAK DAUN MERAH KUPANG,NUSA TENGGARA TIMUR (NTT),KUPANG,"JL. BUND PU, KEL. TUAK DAUN MERAH, KEC. OEBOBO, KOTA KUPANG, PROVINSI NUSA TENGGARA TIMUR",0815 1989 6317
2559,SILOAM HOSPITALS KUPANG (Hanya Berlaku Sistem Reimbursement),NUSA TENGGARA TIMUR (NTT),KUPANG,Jl.  Rw Monginsidi Rt. 014 / Rw. 004 Fatutuli,'0380-8530900/8530911
2560,OPTIK SEIS LIPPO PLAZA KUPANG,NUSA TENGGARA TIMUR (NTT),KUPANG,"GROUND FLOOR NO. GF-31 & 31A JL. VETERAN RT. 06/05 KELURAHAN FATULULI, KECAMATAN OEBOBO KUPANG - NTT",(0380) 8439095|
2561,LAB KLINIK KF KUPANG,NUSA TENGGARA TIMUR (NTT),KUPANG,"Jl. Moch. Hatta No. 46, Fontein, Kec. Kota Raja",081239353473||
2562,OPTIK INTERNASIONAL KUPANG 1,NUSA TENGGARA TIMUR (NTT),KUPANG,RUKO E JL. URIP SUMOHARJO DEPAN BANK MANDIRI (EKS HALTE LAMA KUPANG),0380-824333|
2563,OPTIK INTERNASIONAL KUPANG 3,NUSA TENGGARA TIMUR (NTT),KUPANG,RUKO EXECUTIVE FRANSEDAMAS JL. FRANSEDA (SAMPING KFC)- KUPANG,0380-8431169|
2564,KLINIK KF.0500 - LALAMENTIK,NUSA TENGGARA TIMUR (NTT),KUPANG,JL. W.J LALAMENTIK KEC OEBOBO,0380-840362|
2565,KLINIK KF.0101 - HEREWILA,NUSA TENGGARA TIMUR (NTT),KUPANG,JL. ER HEREWILA NO.38,0380-827270|
2566,KLINIK KF.OESAPA,NUSA TENGGARA TIMUR (NTT),KUPANG,JL. TIMOR RAYA RT.023 RW 008,0813-5303-0863|
2567,OPTIK INTERNASIONAL ATAMBUA,NUSA TENGGARA TIMUR (NTT),BELU,JL.SUDIRMAN NO.44 KEC.KOPETA ATAMBUA  - KAB.BELU - NTT,0389-22005|
2568,OPTIK INTERNASIONAL ENDE,NUSA TENGGARA TIMUR (NTT),ENDE,JL. GATOT SUBROTO KOMPLEK RUKO ROYAL PASIFIC NO. 4 ENDE-NTT,0381-24042|
2569,OPTIK INTERNASIONAL KEFAMENANU,NUSA TENGGARA TIMUR (NTT),KEFAMANU,JALAN EL TARI RT 12 RW 03 KELURAHAN BENPANSI KOTA KEFAMENANU,0388-2430025|
2570,SILOAM HOSPITALS LABUAN BAJO (Hanya Berlaku Sistem Reimbursement),NUSA TENGGARA TIMUR (NTT),LABUHAN BAJO,Jl. Gabriel Gampur Rt.013. Rw.005. Dusun V. Kec. Komodo. Kab. Manggarai Barat. Labuhan Bajo,(0385) 238 1900
2571,KLINIK KF. LABUAN BAJO,NUSA TENGGARA TIMUR (NTT),MANGGARAI BARAT,JL. SOEKARNO HATTA,0813-3889-3788|
2572,KLINIK PRODIA KUPANG,NUSA TENGGARA TIMUR (NTT),KUPANG,Jl. Cakdoko No.52,'(0380)-824566. 821010. 8080020
2573,OPTIK MELAWAI LIPPO PLAZA KUPANG,NUSA TENGGARA TIMUR (NTT),KUPANG,"GF No. GF-31 & 31 A, Jl. Veteran",0380-8439095
2574,LAB. KLINIK PRODIA MAUMERE,NUSA TENGGARA TIMUR (NTT),SIKKA,Jl.  El Tari. Kel. Madawat. Kec. Alok. Maumere Flores,'(0382) 21146
2575,OPTIK INTERNASIONAL MAUMERE,NUSA TENGGARA TIMUR (NTT),MAUMERE,JL. ANGGREK RUKO PERUMNAS 4A MAUEMERE KAB. SIKKA,0382-23609|
2576,OPTIK INTERNASIONAL WAINGAPU,NUSA TENGGARA TIMUR (NTT),WAINGAPU,KOMPLEK RUKO MATAWI JL. AHMAD YANI NO. 10 SUMBA TIMUR NTT,0387-2560107|
2577,OPTIK MELAWAI H. B. JASSIN GORONTALO,GORONTALO,GORONTALO,"JL. PROF. DR. H.B. JASSIN KEL. LIMBA U II, KEC. KOTA SELATAN, KOTA GORONTALO, GORONTALO",
2578,KLINIK PRODIA GORONTALO,GORONTALO,GORONTALO,Jl. Nani Wartabone No.37 (Samping Bank Indonesia),'(0435) 826246
2579,OPTIK SEIS CITIMALL GORONTALO,GORONTALO,GORONTALO,"JL. HOS COKROAMINOTO NO. 1 KEL HELEDULAA SELATAN, KEC KOTA TIMUR, GORONTALO",0435-8592633|
2580,OPTIK INTERNASIONAL GORONTALO 1,GORONTALO,GORONTALO,JL. A. YANI NO. 143  GORONTALO,0435-827241
2581,OPTIK TUNGGAL GORONTALO MALL ( GOM ),GORONTALO,GORONTALO,JL. HOS COKROAMINOTO NO.1 GF – TD -26,0435-859 2658||
2582,KLINIK KF HBJ GORONTALO,GORONTALO,GORONTALO,"JL. PROF. DR. HB JASSIN, NO.5, KEL. WUMIALO, KEC. KOTA TENGAH",0822-9279-8613|
2583,RS BUNDA PENGHARAPAN,PAPUA,MERAUKE,"JL. TUJUH WALI-WALI RT. 020/RW. 004 KEL. KAMUNDU, DISTRIK MERAUKE, KAB. MERAUKE",0971-325906/0821-9957-2930
2584,OPTIK MELAWAI ABEPURA JAYAPURA,PAPUA,JAYAPURA,"JL RAYA ABEPURA-SENTANI, KEL. KOTABARU, KEC. ABEPURA, KOTA JAYAPURA, PROVINSI PAPUA",0815 1988 4908
2585,OPTIK MELAWAI MALL JAYAPURA,PAPUA,JAYAPURA,"MALL JAYAPURA APO, JL. SAMRATULANGI KEL. BAYANGKARA, KEC. JAYAPURA, KOTA JAYAPURA",0815-1988-3987
2586,RS. PROVITA,PAPUA,JAYAPURA,Jl. Sam Ratulangi No. 39,'0967-5162888
2587,RS. DIAN HARAPAN,PAPUA,JAYAPURA,Jl. Taruna Bhakti. Yabansai Distrik Herang,'0967-573479/ 572325; 0852 4400 4655;0813 44100 432
2588,KLINIK PRODIA CAB. JAYAPURA,PAPUA,JAYAPURA,Komplek Ruko Polimak No.21. Jl. Ardipura,'0967-516200
2589,OPTIK MELAWAI SENTANI MALL,PAPUA,JAYAPURA,"Sentani City Square Lt. Dasar Blok B1 No. 1, Jl. Kemiri",0967-593883
2590,OPTIK INTERNASIONAL ABEPURA 1,PAPUA,JAYAPURA,"JL. RAYA ABEPURA SENTANI, SAGA SWALAYAN ABEPURA",0967-518 5220|
2591,OPTIK INTERNASIONAL JAYAPURA-1,PAPUA,JAYAPURA,JL. PERCETAKAN NO. 76,0967-521417|
2592,LAB. KLINIK CITO JAYAPURA,PAPUA,JAYAPURA,JL. ARGAPURA 11 E NO.293,0967-522080 / 085244202002||
2593,OPTIK TUNGGAL MALL JAYAPURA,PAPUA,JAYAPURA,GF 36-37 JL. SAM RATULANGI APO,
2594,OPTIK SEIS MALL JAYAPURA,PAPUA,JAYAPURA,"LT DASAR UNIT GF#12-13 JL. SAM RATULANGI, BAYANGKARA, JAYAPURA UTARA, PAPUA",0967-5142006
2595,OPTIK INTERNASIONAL BIAK,PAPUA,BIAK,JL.IMAM BONJOL NO.29 (SAMPING RUMAH MAKAN JAWA TIMUR),0981-25621|
2596,OPTIK MELAWAI DIANA TIMIKA,PAPUA,TIMIKA,"Diana Mall Timika, Jl. Budi Utomo No. 8",0901-3269566
2597,KLINIK PURI HUSADA,PAPUA,TIMIKA,Jl.  Budi Utomo Ujung. Timika Papua,(0901) 3126661
2598,RS. KASIH HERLINA TIMIKA,PAPUA,TIMIKA,Jl.  A.Yani No. 37,(0901) 321433/321443
2599,OPTIK INTERNASIONAL TIMIKA,PAPUA,MIMIKA,JL.YOS SUDARSO NO.17  TIMIKA,0901-323770|
2600,RS. ANGKATAN LAUT DR AZHAR ZAHIR MANOKWARI,PAPUA BARAT,MANOKWARI,Jl. Serma Suwandi No. 1,'0986-211758; 0822-38980-504
2601,OPTIK MELAWAI MANOKWARI CITY MALL,PAPUA BARAT,MANOKWARI,"LT. GF-18, JL. YOS SUDARSO NO. 8 MANOKWARI BARAT PAPUA BARAT",0815 7420 6945
2602,KLINIK KF.SANGGENG,PAPUA BARAT,MANOKWARI,"JL. YOS SUDARSO, MANOKWARI BARAT",0811-4855-740|
2603,OPTIK INTERNASIONAL FAK FAK,PAPUA BARAT,FAK FAK,JL.IZAK TELUSSA,0956-24226|
2604,OPTIK INTERNASIONAL KAIMANA,PAPUA BARAT,KAIMANA,RUKO LINGKAR PASAR BARU A. 08 JL. SAPTA TARUNA,082198390580|
2605,OPTIK MELAWAI PARAGON SQUARE SORONG,PAPUA BARAT,SORONG,"PARAGON SQUARE SORONG, KEL. SAWAGUMU, KEC. SORONG UTARA, KOTA SORONG, PROVINSI PAPUA BARAT DAYA",0815 1972 5272
2606,OPTIK MELAWAI BASUKI RAHMAT SORONG,PAPUA BARAT,SORONG,"JL. BASUKI RAHMAT KM 9,5 NO 6 DAN 7, KEL. SAWAGUMU, KEC. SORONG UTARA, KOTA SORONG, PROVINSI PAPUA BARAT DAYA",0815 1994 3422
2607,OPTIK INTERNASIONAL SORONG 1,PAPUA BARAT,SORONG,JL. A YANI BLOK A NO.12 PERTOKOAN YOHAN,0951-328456|
2608,OPTIK INTERNASIONAL SORONG 2,PAPUA BARAT,SORONG,JL. BASUKI RAHMAT KM 10,0951-3160043|
2609,KLINIK PRODIA SORONG,PAPUA BARAT,SORONG,Jl. Jend.Ahmad Yani Ruko Vini Vidi No.7-8 Klaigi Distrik Sorong Manoi,'0951-3178505
2610,RS MALEO SORONG,PAPUA BARAT,SORONG,"JL. KESEHATAN NO.37, KAMPUNG BARU",0951-3122743|
2611,RS. MUTIARA SORONG,PAPUA BARAT,SORONG,"JL.  MALEO, NO. 2-A, SORONG.",0951-327433/324593/332061||
2612,RS. PERTAMINA SORONG,PAPUA BARAT,SORONG,Jl.  Ahmad Yani No. 13,'0951-321362. 321581
2613,KLINIK KF REMU,PAPUA BARAT,SORONG,"JLN. SELAT RUMBERPON NO. 1, KELURAHAN REMU SELATAN, KECAMATAN SORONG MANOI, KOTA SORONG",0852-9005-6855|
2614,RS. PERMATA HATI DURI,RIAU,DURI,Jl.  Jend Sudirman No.37 Simpang Padang,'0765-94902/95799. GIGI913670765-0765-596899
2615,RSU. THURSINA,RIAU,DURI,Jl. Hangtuah No.93,'0765-597782 / 595573
2616,LAB. PRODIA DURI,RIAU,DURI,Jl. Hang Tuah 105 D. Duri,'0765-93008
2617,OPTIK INTERNASIONAL DURI RIAU,RIAU,DURI,"JL. JEND.SUDIRMAN NO.110 DURI, PEKANBARU",0765-92399|
2618,RS. EFARINA PANGKALAN KERINCI,RIAU,PANGKALAN KERINCI,Jl.  Lintas Timur No 1. Pangkalan Kerinci. Kab Pelalawan,'0761-494500/493980
2619,RS Hermina Rumbai,RIAU,PEKANBARU,Jl Kayangan No 53 Limbungan Baru Kec Rumbai Pesisir Kota Pekanbaru Riau 28266,
2620,OPTIK MELAWAI SUDIRMAN PEKANBARU,RIAU,PEKANBARU,"JL. JENDRAL SUDIRMAN NO. 150 KEL. SUKARAMAI KEC. PEKANBARU, KOTA PEKANBARU, RIAU",
2621,PRODIA PEKANBARU,RIAU,PEKANBARU,Jl.  Cempaka No. 80 B-C. Pekanbaru. Riau 28156,'0761-45542
2622,RSIA. ANDINI,RIAU,PEKANBARU,Jl. Tuanku Tambusai No.55. Pekanbaru,'(0761) 33612 / 33850
2623,RSIA. ERIA BUNDA,RIAU,PEKANBARU,Jl.  Kh. Ahmad Dahlan. No.163,'0761-23100/23600
2624,EKA HOSPITAL PEKANBARU,RIAU,PEKANBARU,Jl.  Soekarno Hatta. Km.6.5,0761-6989999
2625,RS. AWAL BROS PANAM,RIAU,PEKANBARU,Jl.  Hr. Soebrantas Rt. 01/Rw. 03 No 88 Kel. Tuah Karya Kec. Tampan Panam. Pekanbaru,'0761-586 888
2626,RS. AWAL BROS PEKANBARU,RIAU,PEKANBARU,Jl. Jend. Sudirman No.117,'0761-47333-
2627,RSIA. ZAINAB,RIAU,PEKANBARU,Jl. Ronggowarsito I No.1,'0761-24000
2628,RS. HERMINA PEKANBARU,RIAU,PEKANBARU,Jl. Tuanku Tambusai Rt.03/Rw.02 Kel.Delima. Kec.Tampan,'0761-8412020
2629,RS. ISLAM IBNU SINA PEKANBARU,RIAU,PEKANBARU,Jl.  Melati. No.60,'0761-24242/26011
2630,PRODIA PEKANBARU(PHC),RIAU,PEKANBARU,Jl. Jendral Sudirman No. 203 L-M Pekanbaru,'(0761) 8403383.  856739
2631,RS. AWAL BROS A. YANI PEKANBARU,RIAU,PEKANBARU,JL. JEND. A. YANI NO.73,(0761) 8410179 / 8410466|
2632,SUMATERA EYE CENTER (SMEC) PEKANBARU,RIAU,PEKANBARU,JL. ARIFIN AHMAD NO.58,0761-565686
2633,RS. SANTA MARIA PEKANBARU,RIAU,PEKANBARU,"JL.  A.YANI, NO.68","0761-28800,20235,20166,22213|"
2634,OPTIK MELAWAI MANDAU DURI TOWN SQUARE,RIAU,PEKANBARU,"Mandau Town Square Lt. Dasar A-7, Kota Pekanbaru",0765-597161
2635,OPTIK MELAWAI CIPUTRA PEKANBARU,RIAU,PEKANBARU,CIPUTRA MALL PEKANBARU LT.GROUND NO.16,0761-868616||
2636,OPTIK MELAWAI LIVING WORLD PEKANBARU,RIAU,PEKANBARU,LIVING WORLD UG - 11,0761-6706120
2637,OPTIK MELAWAI SENAPELAN PLAZA,RIAU,PEKANBARU,LT. 1 BLOK A1 NO. 37-38,0761-26898
2638,OPTIK MELAWAI SKA PAKANBARU,RIAU,PEKANBARU,Mall SKA LT. DASAR NO. 48,0761-864201
