Nama,Alamat,Telepon,Tags
Prodia Surabaya Wiyung,Jl. Raya Menganti Ruko Taman Pondok Indah A-35 Surabaya Jawa Timur,031-99750099,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Prodia Tabanan,"Jl. Ngurah Rai No.43 Apotek Mawar Farma, Kediri Tabanan 82121",0361-812758,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Prodia Taman Palem,"Jl. Taman Palem Blok G2 No.16 Rt 008 Rw 015 Cengkareng Barat, Cengkareng – Jakarta Barat",021-22554769,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Prodia Tangerang,"Sutera Niaga I No.21 Ruko Alam Sutera Serpong, Tangerang 15325",021-5399961/53122587,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Prodia Tangerang Kota,"Jl. Jendral Sudirman Tangerang City Premium Business Park Blok A No.11 Babakan, Tangerang",021-59731610,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Prodia Tanjung Pinang,"Jl. Ir. Sutami, Ruko Villa Akasia No. 20",0771-25305,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Prodia Tarakan,"Jl. Yos Sudarso No. 8, Tarakan, Kalimantan Utara",085345837007,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Prodia Tasik,Jl. R.E. Martadinata No.9 Tasikmalaya,0265-2353080,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Prodia Tebing Tinggi,"Jl. Sudirman No.257 D, Tebing Tinggi 26014",0621-22494,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Prodia Tegal,Jl.Kapten Sudibyo No.136 Tegal 52114,0283-358673/353664,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Prodia Temanggung,Ruko Pandean Jl. Mt Haryono Temanggung - Jawa Tengah,0293-4960160,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Prodia Ternate,"Jl. Mononutu No.21, Ternate, Maluku Utara 97713",0921-3111246,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Prodia Tulung Agung,Jl. Supriadi No.45 Blok A.14 Ruko Nirwana,0355-336989,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Prodia Wastu Kencana,Jl. Wastukencana No.38 Bandung 40116,022-4231362/4239538/4264059,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Prodia Women's Health Centre (PWHC),Jl. Wolter Monginsidi No.77 Kebayoran Baru Jakarta Selatan,021-72783858,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Prodia Wonogiri,"Jl. Jend. Achmad Yani No. 58, Wonogiri 57612",0273-321447,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Prodia Wonosobo,"Jl. Kauman No. 15, Wonosobo 56311 (Pertigaan Mangli)",0286-325275,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Prodia Yogyakarta Bintaran,Jl.Bintaran Kulon No.28 Yogyakarta 55151,0274-373271/375273,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Prodia Yogyakarta Mangkubumi,Jl.Pangeran Mangkubumi No.50 Yogyakarta 55232,0274-515818,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
PROF. DR. I.G.N.G NGOERAH,"Jl. Diponegoro, Desa/Kelurahan Dauh Puri, Kec. Denpasar Barat, Kota Denpasar, Bali - 80114",0361 227911-15,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Prof. Dr. R.D Kandou Manado,"Jl. Raya Tanawangko No.56 Manado, Sulawesi Utara",0431-838203,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Prof.Dr.Boloni,Jl. W.Monginsidi No.11 Medan,061-4512687 / 4556879,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Provinsi NTB,"Jl. Praburangkasari Dasan Cermen, Mataram NTB",0370-7502424,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Provita,"Jl.Sam Ratulangi No.39 Apo Rt.05 Rw.02 Kel.Bhayangkara Kec. Jayapura Utara, Papua",0967-5162888,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Pupuk Kaltim,Jl. Oksigen No.1 Komp.Pupuk Kaltim,0548-41118 / 41444,"AXA Mandiri Financial Services, Individu Solution"
Pupuk Kaltim (Pupuk Kaltim Group),Jl. Oksigen No.1 Komp.Pupuk Kaltim,0548-41118 / 41444,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Puri Asih,Jl. Jend. Sudirman No.169 Salatiga,0298-323209,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Puri Asih Cikampek,Jl. Stasiun No.2 Cikampek Kota,0264-303558 / 0264-361459,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Puri Asih Jatisari,Jl. Raya Jatisari No.3 Pasar Jatisari,0264-361459/361466,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Puri Asih Kosambi,"Jl. Kosambi - Telagasari No.108 Kp.Pundong Rt.02/ Rw.03 Blendung Klari, Karawang Jawa Barat",0267-7301451,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Puri Asih Telukjambe,"Dusun Sukamulya, Desa Pinayungan, Teluk Jambe",0267-646845,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Puri Betik Hati,Jl. Pajajaran No.109 Jagabaya II Bandar Lampung,0721-787799,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Puri Bunda,"Jl. Gatot Subroto Vi, No.19",0361-437999,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Puri Bunda Tabanan,"Jl. Dr Ir Soekarno, Banjar Anyar, Kec. Kediri, Tabanan - Bali",0361-2095888,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Puri Cinere,"JL. Maribaya No.1 Puri Cinere, Depok - Jawa Barat",021-7545488,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Puri Garcia,"Jl. Griya Purnama, No.2, Nangka",0254-223333,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Puri Husada,"Jl. Budi Utomo Ujung, Timika Papua",0901-3126661,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Puri Indah,"Jl. Puri Indah Raya Blok S2, Kembangan Selatan",021-25695222/25695200,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Puri Malang,"Jl. Taman Slamet No.20 Gading Kasri Kec.Klojen Malang, Jawa Timur",0341-325329,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Puri Medika,"Jl.  Sungai Bambu Raya, No.5, Tanjung Priok",021-43903355/43931975,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Puri Raharja,Jl. Wr Supratman No.14-19 Denpasar Bali,0361-222013,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Pusat Otak Nasional,"Jl. M.T Haryono Kav 11 Cawang, Jakarta Timur",021-29373377,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Pusat Persahabatan,Jl. Persahabatan Raya No.1 Rawamangun Jakarta Timur,021-4891708,"AXA Mandiri Financial Services, Corporate Solution"
Pusat Pertamina,Jl. Kyai Maja No. 43 Jakarta Selatan,021-7219000,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Puspa Husada,"JL. Raya Pondok Timur KM.1 No.27 Jatimulya Tambun Selatan, Bekasi",021-82618978/82618979,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Pusri,"Jl.  Mayor Zen, Komplek Pusri No. 1 Palembang Sumatera Selatan",0711 -712222/712111,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Pusura Tegalsari (Medis Pusura 4),JL. Tegal Sari No.59,031-5473462,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Putera Bahagia (Siloam Group),"Jl. Ciremai Raya No.114 ,Perumnas",0231-207351/4990900,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Putewa,Jl. Nusa Indah Raya Blok 40 No.17 H Jakarta Timur,021-8622207,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Putra Dalima,"Griya Loka, Sektor 1.2, Blok Ua/26-27, Bumi Serpong Damai",021-5380375/5388279,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Putra Medika,Jl. Perum Vila Mutiara Kampung Kukun Cikarang No.115 RT.012/06 Ds. Ciantra. Cikarang Selatan,021-298888506,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Putra Medika ( Group Aqma Pusat ),Jl. Ir. H. Juanda No.14-19 Sukaseuri,0264-301652,"AXA Mandiri Financial Services, Individu Solution"
Putra Medika (Group Aqma Pusat),Jl. Ir. H. Juanda No.14-19 Sukaseuri,0264-301652,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Putra Medika 2,Jl. Raya Cikarang Cibarusah KM.28 RT.012/006 Ds. Ciantra Kec. Cikarang Selatan,021-8971612,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Putra Medika 3,"Jl. Perum Kota Serang Baru, Kp. Gebang Ds.Sukaragam Kec.Serang Baru, Cikarang Bekasi",0733-324963 / 324955,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Putra Medika 4,"Jl. Raya Sukamahi, Tembong Gunung, Sukamahi Cikarang Pusat, Bekasi",021-22158727 / 087779305000,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Putra Medika Cibenda,"Jl. Pasar Cibenda Desa Sirnajaya, Serang Baru, Bekasi Jawa Barat",021-89677215,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Putri,"JL. Arif Rahman Hakim, No.122 Surabaya",031-5999987,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Qirani,"Jl. Delima 1A No.15A Rt 002 Rw 004 Kel. Malaka Sari, Duren Sawit Jakarta Timur",0291-95000,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Quantum Sarana Medik,Jl. Raya Sesetan No. 20,0361-228835,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Queen Latifa Kulon Progo,"Jl. Raya Jogja Wates Km.21 Sukoreno, Sentolo, Kulon Progo D.I Yogyakarta",0274-2890679,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Rafflesia,"Jl. Mahoni, No. 10, Padang Jati",0736-21710,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Rajawali,Jl. Rajawali No.38 Bandung,022-6011913/6031087/6079143,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Ratulangi Medical Centre,"Jl. Sam Ratulangi No.28 Makassar, Sulawesi Selatan",0411-878688 / 878605-06,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Rawa Lumbu,"Jl. Dasa Darma, No.20-23, Rawa Lumbu",021-82422511,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Rawamangun,"Jl. Balai Pustaka Raya, No.29-31",021-4893531,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Rawamangun (Group of Pertamina Jaya),Jl. Mundu Raya No. 1 Jakarta Timur,021-4894150/ 48942378,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Rawat Inap Central Medika,"Jl. Pilar - Sukatani, Ds Sukaraya No 84, Karang Bahagia",021-89111103,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Rays International Dental Clinic,Jl.Brawijaya VIII No.2 Jakarta Selatan,021-7262347,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Recons Fit Indonesia,"Jl. Balayudha No.970 Kec. Kemuning, Palembang 30128",08117301707,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Reksa Waluya,"Jl. Mojopahit, No.422",0321-322170/322171,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Rennicha Putra,Jl. Raya Cikarang Cibarusah No 89 Lippo Cikarang,021-8971852/8971658,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Resti Mulya,Jl. Pahlawan Komarudin Raya No. 5 Penggilingan Cakung,021-4802192/4803707/4803936,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Restu Ibu,JL. Jend A.Yani No.12 Balikpapan,0542-427342/3/4,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Restu Ibu Dukuh,"Jl. Penggilingan Baru No.3 Dukuh, Kramat Jati, Jakarta Timur",021-87786723,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Restu Ibu Pejaten,"Jl. Swadaya 1 No.54 A-B Pejaten Timur, Pasar Minggu, Jakarta Selatan",021-78840267,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Restu Kasih,JL. Raya Bogor Km.19 No.3A Kramat Jati- Jakarta Timur 13510,021-8001177/8002166,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Ridhoka Salma,Jl. Imam Bonjol No.7 Gardu Sawah,021-89116527,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Risa Sentra Medika,"Jl. Pejanggik No.115 Cakranegara, Mataram",0370-632117/625560,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
RK.Charitas Palembang,JL. Jend. Sudirman No.1054,0711-350426/353375,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Roemani Muhammadiyah,"Jl. Wondri, No.22",024-8444623,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Rosela,"JL. Interchange tol Karawang Barat no.3 ds. Wadas, kec. Karawang Timur",0267-8637207/8637205,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Rosiva,"Jl. Bangka No.15, Gg. Buntu, Kec. Medan Timur, Medan Sumatera Utara",061-4510522,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Royal Health Care,Jl. Buncit Raya No. 99 Kalibata Pancoran Jakarta Selatan,021-7940015 / 0811935249,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Royal Prima,"Jl. Raden Wijaya Rt.35 Kebun Kopi, Kel Thehok, Jambi Selatan",0741-41010,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Royal Prima Marelan,"Jl. Marelan Raya Pasar Iii No.187 Kel.Rengas Pulau Kec.Medan Marelan, Medan",061-42731858,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Royal Prima Medan,Jl. Ayahanda No. 68 A Medan Sumatera Utara,061-88813182,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Royal Progress Int Hospital,"Jl. Danau Sunter Utara, Sunter Paradise I",021-6400261,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Royal Surabaya,Jl.Rungkut Industri I No.1 Surabaya,031-8476111,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Royal Taruma,Jl. Daan Mogot No.34 Grogol,021-56958338/56967788,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
RS. Pertamina Rantau,"Jl. Cepu No.1 Komperta Field Rantau Aceh Tamiang, Nanggroe Aceh Darussalam",0641-31165,"AXA Mandiri Financial Services, Individu Solution"
Rs. St. Elisabeth Medan,Jl. H. Misbah No.7 Medan Sumatera Utara,061-4144737,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Rsop Ciamis,"Jl. Ciamis - Banjar No.341, Cijeungjing, Kec. Cijeungjing Ciamis Jawa Barat",0265 - 7600450,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
RSPKT 1 Imam Bonjol (Pupuk Kaltim Group),Jl.Imam Bonjol Bontang,0548-24800,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
RSPKT 2 Bengalon (Pupuk Kaltim Group),"Jl. Poros Bengalon - Sangkulirang Sepaso Timur Bengalon, Kutai Timur, Bali",081330492294,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
RSU Mulia Hati Wonogiri,"Jl. RM Said No. 08, Brumbung, Kaliancar, Kec. Selogiri",0273-5329700,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
RSUPN Cipto Mangunkusumo (KENCANA),Jl. Diponegoro no.71,"021-1500 135 , 021-9200 5164","AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
RSUPN Cipto Mangunkusumo Pusat (NON KENCANA),Jl. Diponegoro no.71,021-3148991 / 3914661,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Rumah Indonesia Sehat Hospital,Jl. Lengkon Gudang Timur Raya No. 777 Bsd City Tangerang Banten,021- 29660950,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Sahabat Pasuruan,"Jl. Surabaya - Malang Km.50, Suwayuwo, Sukorejo Pasuruan Jawa Timur",0343-639625,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Saman,"Jl. Camar 11 No. 76, Gg. 4R No.9, Rw.7, Semper Barat, Kec. Cilincing - Jakarta Utara",021-22044228,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Samarinda Medika Citra,Jl. Kadrie Oening No.81 Rt.35 Samarinda 75124,0541-7273000,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Samaritan Palu,Jl. Towua No.77 Palu - Sulawesi Tengah,0451-4010925,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Sammarie Basra,"Jl. Basuki Rachmat No. 31, Pondok Bambu, Duren Sawit",021-86613145,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Santa Clara,"Jl. Biliton, No.15",0351-462688/452770/464571,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Santa Elisabeth Sei Lekop,"Jl. Sei Binti Kav.Sungai Lekop Rt.001/Rw.013, Sagulung, Batam, Kep. Riau",0778-3800268/380332,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Santa Maria Pekanbaru,Jl. A. Yani No.68 Pekanbaru Riau,0761-28800 / 20235,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Santa Maria Pemalang,Jl. Pemuda No.24,0284-321251/321426,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Santo Antonio,"Jl. Garuda No.3, Km.3, Ds. Tanjungbaru Kec. Baturaja Timur Sumatera Selatan",0735-320395/322418,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Santo Antonius Mataram,"Jl. Koperasi No.61 Ampenan - Mataram, NTB",0370-621397,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Santo Borromeus,Jl.Ir.H.Juanda No.100 Lebak Gede Coblong Bandung,022-2552083-95/2552003,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Santo Vincentius Singkawang,Jl. P. Diponegoro No.5,0562-631008,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Santo Yusup,Jl. Cikutra No.7 Bandung Jawa Barat,022-7208172,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Santosa Bandung International,Jl. Kebon Jati No. 38,022-4248333,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Santosa Hospital Bandung Kopo,Jl. KH Wahid Hasyim (Kopo) No.461-463 Bandung,022-5402241/54280333,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Sanur Medical Clinic,"Jl. By Pass Ngurah Rai No.234, Sanur, Denpasar Selatan Bali",0361-289116,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Sapta Mitra,"Jl. Pondok Kelapa Raya Blok A12 No 1
Malaka Jaya Duren Sawit Jakarta Timur",021-86906363,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Sapta Mitra Cikarang,"Ruko Cikarang Central City Blok H 29-30 Kel. Ciantra, Kec. Cikarang Selatan, Bekasi",021-22180039,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Sarah,Jl. Baja Raya No. 10 Petisah,061-4528044,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Saraswati,"Jl.Jend A Yani No.92 Dawuan, Cikampek Karawang",0264-311531/316101,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Sari Asih Ciledug,Jl. Hos Cokroaminoto No.38 Ciledug,021-7333430/7332758,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Sari Asih Ciputat,"Jl. Otista Raya No. 3 Sasak Tinggi Ciputat, Tangerang Selatan",021-7410808,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Sari Asih Karawaci,"Jl. Imam Bonjol, No.38",021-552 2794/5523239,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Sari Asih Sangiang,"Jl. Raya Mauk.Km.3,5 Simpang Tiga Sangiang",021-5582732,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Sari Asih Serang,"Jl. Jend.Sudirman, No.38, Penancangan, Cipocok",0254-220022,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Sari Medika,Jl. P. Antasari No. 5 Sampit,0531-25288 / 24396,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Sari Mulia,Jl. Pangeran Antasari No.139 B,0511-3274447/325257,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Saskia Medika,Jl. Raya Serang Gang H.Jamil Rt.003/Rw.001 Desa Serang Cikarang Selatan - Bekasi,021-89677764/89915113,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Satelit 3 RS.PKT Bontang (Pupuk Kaltim Group),"Jl. Letjen S Parman No.5 Bontang, Kalimantan Timur",0548-23388,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Satelit BIMC Bintaro,Jl. Bintaro Utama Blok Am 33 Sektor III Bintaro Jaya-Tangerang,021-7357077/7354088,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Satelit BIMC Depok,Ruko Saladin Square Blok C/27 Jl.margonda raya depok,021-29402214,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Satelit Bimc Penggilingan,"Jl.  Komp. Taman Pulo Indah Blok I No. 7-8 Kel. Penggilingan, Kec. Cakung Jakarta Timur",021-4800689/8606202,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Satelit Kalimantan,Jl. Kalimantan No.29-31 Perum Gkb Sukomulyo Manyar Gresik – Jawa Timur,031-3959889,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Satelit  BIMC Bekasi,Jl.Gurame Raya Pertokoan Kav.29 perumnas II Kel.Kayuringin Bekasi,021-88968419,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Satria Medika,"Jl. Raya Bantar Gebang - Setu No.119, Padurenan, Mustikajaya",021-22105678,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Saturdays 23 Paskal Bandung,"Unit L2-58B, 2Nd Floor. Paskal 23 Jl. Pasir Kaliki No.25-27, Kb. Jeruk, Kec. Andir",0877-4955-2516,"AXA Mandiri Financial Services, Corporate Solution"
Saturdays Aeon BSD,"Unit 1-28, 1St Fl. Aeon Mall Bsd. Jl. Bsd Raya Utama, Pagedangan, Kec. Pagedangan, Tangerang",0878-4955-2501,"AXA Mandiri Financial Services, Corporate Solution"
Saturdays Aeon Cakung,"1F#38, 1St Fl. Aeon Jakarta Garden City. Jl. Jkt Garden City Boulevard No.1, Rw.6, Cakung Tim., Kec. Cakung",0877-4955-2509,"AXA Mandiri Financial Services, Corporate Solution"
Saturdays Aeon Tanjung Barat,"Unit 1-27, 1St Floor, Aeon Tanjung Barat, Jl. Raya Tj. Barat No.163, Rt.12/Rw.4, West Tanjung, Jagakarsa",0877-4955-2502,"AXA Mandiri Financial Services, Corporate Solution"
Saturdays Ashta District 8,"Unit 1F-20, 1St Fl. Ashta District 8, District 8, Scbd Lot 28, Jl. Jend. Sudirman Kav 52-53, Rt.8/Rw.3, Kec. Kby. Baru",0877-4955-2504,"AXA Mandiri Financial Services, Corporate Solution"
Saturdays Big Mall Samarinda,"Big Mall Samarinda Unit F1-062, Jl.Untung Surapati No.08 Karang Asem Ulu, Sungai Kunjang, Samarinda Kalimantan",0877-4955-2543,"AXA Mandiri Financial Services, Corporate Solution"
Saturdays Bintaro Xchange Mall,Bintaro Xchange Mall Lt Lg - Unit 127 B. Bintaro Xchange Mall. Boulevard Bintaro Jaya Blok O-2 Bintaro Jaya Sektor VII,0878-4855-2500,"AXA Mandiri Financial Services, Corporate Solution"
Saturdays Botani Square Bogor,"Botani Square Bogor, Gf-48, Jl. Raya Pajajaran No. 40, Tugu Kujang, Kec. Bogor Tengah, Kota Bogor",0877-4955-2544,"AXA Mandiri Financial Services, Corporate Solution"
Saturdays By The Sea,"A06-07, Asg Tower, Jalan Pantai Kapuk Boulevard, Kamal Muara",0877-4955-2527,"AXA Mandiri Financial Services, Corporate Solution"
Saturdays Central Park Mall,"Central Park Mall Jakarta, Lt. Ug Unit 112, Jl. Letjen S. Parman Kav. 28, Tj. Duren Sel., Kec. Grogol Petamburan, Kota Jakarta Barat",0877-4955-2540,"AXA Mandiri Financial Services, Corporate Solution"
Saturdays Citywalk Sudirman,"Jl. K.H. Mas Mansyur No.10, Rw.11, Karet Tengsin, Tanah Abang",0877-4955-2506,"AXA Mandiri Financial Services, Corporate Solution"
Saturdays Deli Park,"L2-08, Deli Park Mall, Jl. Putri Hijau No.1, Kesawan, Opq",0877-4955-2520,"AXA Mandiri Financial Services, Corporate Solution"
Saturdays Duta Mall Banjarmasin,"Lt. 2, Blok F No. 12, Duta Mall Banjarmasin, Jl. A. Yani Km 2 Banjarmasin",0877-4955-2536,"AXA Mandiri Financial Services, Corporate Solution"
Saturdays Emporium Pluit,"Emporium Pluit Mall. Lt. 2-09 Emporium Pluit Mall, Jl. Pluit Selatan Raya",0877-4955-2518,"AXA Mandiri Financial Services, Corporate Solution"
Saturdays Fx Sudirman,"Unit F1 #I04, Fx Sudirman, Jl. Jend. Sudirman, Rt.1/Rw.3, Gelora, Kec. Tanah Abang",0877-4955-2503,"AXA Mandiri Financial Services, Corporate Solution"
Saturdays Gaia Pontianak,"Lt. 1 Unit L1-51, Gaia Bumi Raya City Mall Pontianak, Jl. Arteri Supadio, Sungai Raya, Kec. Sungai Raya, Kabupaten Kubu Raya",0877-4955-2537,"AXA Mandiri Financial Services, Corporate Solution"
Saturdays Galaxy Mall Surabaya,"Galaxy Mall Surabaya #1-223, 1Fl. Galaxy Mall 2. Jl. Dharmahusada Indah Timur 3537",0877-4955-2529,"AXA Mandiri Financial Services, Corporate Solution"
Saturdays Grand Indonesia,"Grand Indonesia East Mall Lantai 3A Unit Em-3A-33, Jl. M.H. Thamrin No.1",0812-8219-1948,"AXA Mandiri Financial Services, Corporate Solution"
Saturdays Kota Kasablanka,"Mall Kota Kasablanka, Lt. Ug - Island Unit U22, Jl. Casablanca Raya Kav. 88, Menteng Dalam, Kec. Tebet, Daerah Khusus Ibukota Jakarta 12870",0877-4955-2546,"AXA Mandiri Financial Services, Corporate Solution"
Saturdays Lifestyle,"Lotte Shopping Avenue 1St Floor Unit 1F-08 Karet Kuningan, Setiabudi",087880738888,"AXA Mandiri Financial Services, Corporate Solution"
Saturdays Lifestyle (Gandaria),"Gandaria City Mall, Island Unit Ug Floor No.U-U01 Jl. Iskandar Muda Kebayoran Lama Utara",081804563888,"AXA Mandiri Financial Services, Corporate Solution"
Saturdays Lippo Kemang Village,"Lippo Mall Kemang Village Unit No.31, Upper Ground. Jl. Pangeran Antasari No.36, Bangka",0878-4955-2500,"AXA Mandiri Financial Services, Corporate Solution"
Saturdays Lippo Mall Puri,"Lippo Mall Puri Ground Floor Gf-76 Jl. Puri Indah Raya Blok U1, Cbd Puri Indah, Jakarta Barat",0878-9500-9888,"AXA Mandiri Financial Services, Corporate Solution"
Saturdays Mall Kelapa Gading,"1F - 202, 1St Fl. Mal Kelapa Gading 2 Jl. Boulevard Kelapa Gading Blok M",0877-4955-2505,"AXA Mandiri Financial Services, Corporate Solution"
