nama_rumah_sakit,alamat,telp,text
Seis Jember Roxy Square,"Lt dasar no gf02s1, Jl Hayam Wuruk no 50-58, Jember, Jawa Timur 68135",0331-4918031,"AXA Mandiri Financial Services, Corporate Solution | Jawa Timur 68135"
Seis Jl. Tunjungan No.23,Jl. Tunjungan No.23 Surabaya 60275,031-5341339,"AXA Mandiri Financial Services, Corporate Solution | Jl. Tunjungan No.23 Surabaya 60275"
Seis Jl.Gajah Mada No.34,Jl. Gajah mada No.34 Semarang,024-3546774,"AXA Mandiri Financial Services, Corporate Solution | Jl. Gajah mada No.34 Semarang"
Seis Kalibata City,"Lt. GF Blok C No.11, Jl. Kalibata Raya No. 1 Jakarta Selatan - 12750.",021-29316907,"AXA Mandiri Financial Services, Corporate Solution | Jl. Kalibata Raya No. 1 Jakarta Selatan - 12750."
Seis Karawang Central Plaza,"Jl. Raya Galuh Mas Lantai Dasar Unit B-22 , Karawang",0267-8636680,"AXA Mandiri Financial Services, Corporate Solution | Karawang"
Seis Kediri Town Square,"Jl. Hasanudin No. 2 , Kediri 64121, Jawa Timur",0354-673834,"AXA Mandiri Financial Services, Corporate Solution | Jawa Timur"
Seis Klaten Town Square,"Jl Pemuda Tengah No.75 Blok A11, Tonggalan, Klaten Tengah, Jawa Tengah 57411",0272-5601000,"AXA Mandiri Financial Services, Corporate Solution | Jawa Tengah 57411"
Seis Kota Kasablanka,"Upper Ground Floor No. UG-47, Jl. Casablanca Raya Kav.88 Jakarta 12870",021-29488499,"AXA Mandiri Financial Services, Corporate Solution | Jl. Casablanca Raya Kav.88 Jakarta 12870"
Seis Kuningan City,"Upper Gound No.UG-16 Jl. Prof. Dr. Satrio Kav. 18 Setiabudi Kuningan, Jakarta Selatan 12940",021-30480528,"AXA Mandiri Financial Services, Corporate Solution | Jakarta Selatan 12940"
Seis Kuta Icon Mall,"Lt. GF No.35, Jl. Kartika Plaza, Kuta",0361-849612,"AXA Mandiri Financial Services, Corporate Solution | Kuta"
Seis Kuta Square,"Pertokoan Kuta Square Blok D No.21, Jl.Bakungsari Kuta-Bali",0361-755097,"AXA Mandiri Financial Services, Corporate Solution | Jl.Bakungsari Kuta-Bali"
Seis Lagoon Avenue,"Jl. KH  Noer Ali No.3A Kalimalang, Bekasi Jawa Barat",021-35761178,"AXA Mandiri Financial Services, Corporate Solution | Bekasi Jawa Barat"
Seis Lampung City Mall,"JL. Yos Sudarso No.85, Bumi Waras, Teluk Betung, Bandar Lampung ( Lantai Lobby No.L-01B)",0721-9650202,"AXA Mandiri Financial Services, Corporate Solution | Bandar Lampung ( Lantai Lobby No.L-01B)"
Seis Level 21,Jl. Teuku Umar No.1 Denpasar Bali,0361-3003119,"AXA Mandiri Financial Services, Corporate Solution | Jl. Teuku Umar No.1 Denpasar Bali"
Seis Lippo Mall Kemang,"Upper Ground No.UG-30, Jl. Pangeran Antasari No.36 Kemang Jakarta 12150",021-29056893,"AXA Mandiri Financial Services, Corporate Solution | Jl. Pangeran Antasari No.36 Kemang Jakarta 12150"
Seis Lippo Mall Saphire Jogja,"Ground Floor Unit G-05, Jl.Let.Jend Adi Sucipto No.24-32",0274-2922799,"AXA Mandiri Financial Services, Corporate Solution | Jl.Let.Jend Adi Sucipto No.24-32"
Seis Lippo Plaza Jember,Jl Gajahmada No. 175 Rt 01/07 Kel Jember Kidul,0331-5102909,"AXA Mandiri Financial Services, Corporate Solution | Jl Gajahmada No. 175 Rt 01/07 Kel Jember Kidul"
Seis Lippo Plaza Kramatjati,Jl. Raya Bogor Km.19 Kramat Jati,021-80875247,"AXA Mandiri Financial Services, Corporate Solution | Jl. Raya Bogor Km.19 Kramat Jati"
Seis Lippo Plaza Kupang,"Ground Floor No.GF-31&31A, Jl.Veteran RT.06/05 Kel.Fatululi,Kec.Oebobo Kupang-NTT",0380-8439095,"AXA Mandiri Financial Services, Corporate Solution | Kec.Oebobo Kupang-NTT"
Seis Lippo Plaza Sunset,"Ground Floor No.09, Jl.Sunset Road, Kuta",0361-768511,"AXA Mandiri Financial Services, Corporate Solution | Kuta"
Seis Lippo Supermal Karawaci,"Lt. UG No.46&47, Jl. Boulevard Diponegoro No. 105",021-5462151,"AXA Mandiri Financial Services, Corporate Solution | Jl. Boulevard Diponegoro No. 105"
Seis Living World Alam Sutera,"Ground Floor No.18 Alam Sutera Boulevard Kav.21 Alam Sutera, Serpong 15325",021-53125605,"AXA Mandiri Financial Services, Corporate Solution | Serpong 15325"
Seis Living World Denpasar,"First Floor Unit 1-23, Jl Gatot Subroto Timur, Tonja, Denpasar Utara, Bali 80235",0361-6200167,"AXA Mandiri Financial Services, Corporate Solution | Bali 80235"
Seis Living World Pekanbaru,"Jl. Soekarno Hatta Kel. Tangkeramg Barat Kec. Marpoyan Damai, Riau Pekanbaru",0761-6706123,"AXA Mandiri Financial Services, Corporate Solution | Riau Pekanbaru"
Seis Lombok City Center,Ground Floor No. Gf-23 Jl. Ahmad Yani Km 8 Gerimak Indah,0370-617369,"AXA Mandiri Financial Services, Corporate Solution | Ground Floor No. Gf-23 Jl. Ahmad Yani Km 8 Gerimak Indah"
Seis Lombok Epicentrum Mall,Ground Floor No.GF-11 Sriwijaya No.333 Mataram Lombok-NTB,0370-6172076,"AXA Mandiri Financial Services, Corporate Solution | Ground Floor No.GF-11 Sriwijaya No.333 Mataram Lombok-NTB"
Seis Lotte Shopping Avenue,"Ciputra World 1, Lt.F4 No.23, Jl. Prof. Dr. Satrio Kav. 3-5 Setiabudi Jakarta Selatan 12940",021-29889470,"AXA Mandiri Financial Services, Corporate Solution | Jl. Prof. Dr. Satrio Kav. 3-5 Setiabudi Jakarta Selatan 12940"
Seis Mal Alam Sutera,"Alam Sutera, Serpong, Jl. Jalur Sutera Barat Kav.16 Alam Sutera Tangerang",021-30449248,"AXA Mandiri Financial Services, Corporate Solution | Jl. Jalur Sutera Barat Kav.16 Alam Sutera Tangerang"
Seis Mal Artha Gading,Jl. Boulevar Artha Gading GF Blok B7-01,021-45863842,"AXA Mandiri Financial Services, Corporate Solution | Jl. Boulevar Artha Gading GF Blok B7-01"
Seis Mal Bali Galleria,"Lt. Dasar Unit No.IB-49, Jl. Raya By Pass Ngurah Rai Bali",0361-752688,"AXA Mandiri Financial Services, Corporate Solution | Jl. Raya By Pass Ngurah Rai Bali"
Seis Mal Bali Ramayana,"Lt. 2, Jl. Diponegoro Denpasar Bali",0361-246182,"AXA Mandiri Financial Services, Corporate Solution | Jl. Diponegoro Denpasar Bali"
Seis Mal Balikpapan Baru,"Lt. Dasar No.G 8-9, Jl. MT.Haryono, Komp.Balikpapan Baru",0542-877268,"AXA Mandiri Financial Services, Corporate Solution | Komp.Balikpapan Baru"
Seis Mal Cipinang Indah,"Lt Gf No.15 Jl Raya Kalimalang Kav 88 , Pondok Bambu, Jakarta Timur 13420",021-38851057,"AXA Mandiri Financial Services, Corporate Solution | Jakarta Timur 13420"
Seis Mal Ciputra,"Jl. Arteri S.Parman, Grogol Upper Ground Unit UG 13-14",021-5681516,"AXA Mandiri Financial Services, Corporate Solution | Grogol Upper Ground Unit UG 13-14"
Seis Mal Ciputra Citragran Cibubur,"Ground Floor No.51, Jl. Alternatif Cibubur Cileungsi KM.4 Jatikarya Cibubur 17435",021-29377342,"AXA Mandiri Financial Services, Corporate Solution | Jl. Alternatif Cibubur Cileungsi KM.4 Jatikarya Cibubur 17435"
Seis Mal Ciputra Semarang,"Lt. Dasar No.17, Jl.Simpang Lima Semarang",024-8415485,"AXA Mandiri Financial Services, Corporate Solution | Jl.Simpang Lima Semarang"
Seis Mal Ciputra Seraya Pekanbaru,"Lt. Dasar No.17, Jl. Riau No.58 Pekanbaru",0761-868617,"AXA Mandiri Financial Services, Corporate Solution | Jl. Riau No.58 Pekanbaru"
Seis Mal Galaxy,"Lt.1 Unit No.153-154, Jl. Dharma Husada Indah Timur No.37 Surabaya",031-5937171,"AXA Mandiri Financial Services, Corporate Solution | Jl. Dharma Husada Indah Timur No.37 Surabaya"
Seis Mal Galeria,"Lt.Dasar Unit 22,23,25-27, Jl. Jendral Sudirman No.99-101 Yogyakarta",0274-584703,"AXA Mandiri Financial Services, Corporate Solution | Jl. Jendral Sudirman No.99-101 Yogyakarta"
Seis Mal GTC Makassar,"Blok GN 1 No.0017,0029&0030, Jl. Metro Tanjung Bunga",0411-8114137,"AXA Mandiri Financial Services, Corporate Solution | Jl. Metro Tanjung Bunga"
Seis Mal Kelapa Gading 2,"Jl. Boulevar Kelapa Gading Blok M Lt.Dasar Unit 145, Kelapa Gading Permai Jakarta 14240",021-4533423,"AXA Mandiri Financial Services, Corporate Solution | Kelapa Gading Permai Jakarta 14240"
Seis Mal Kelapa Gading 3,"Jl. Boulevar Kelapa Gading Blok M Lt.Dasar Unit 09 Kelapa Gading Permai, Jakarta 14240",021-45853588,"AXA Mandiri Financial Services, Corporate Solution | Jakarta 14240"
Seis Mal Lembuswana,"Lt. Dasar No.K-32, Jl.S.Parman/M Yamin Samarinda",0541-201166,"AXA Mandiri Financial Services, Corporate Solution | Jl.S.Parman/M Yamin Samarinda"
Seis Mal Malioboro,"Upper Ground Unit 26-27, Jl. Malioboro No,52-58 Semarang",0274-589474,"AXA Mandiri Financial Services, Corporate Solution | 52-58 Semarang"
Seis Mal Matahari Daan Mogot,"Jl. Daan Mogot Raya Km 16, Lantai Dasar No. 7, Jakarta Barat",021-5418302,"AXA Mandiri Financial Services, Corporate Solution | Jakarta Barat"
Seis Mal Metropolitan Cileungsi,"Metland Transyogi, Kec. Cileungsi, Kab. Bogor, Lantai Dasar No. 9",021-29212109,"AXA Mandiri Financial Services, Corporate Solution | Lantai Dasar No. 9"
Seis Mal Of Indonesia,"Ground Floor No.B8 Kelapa Gading, Jakarta Utara",021-45868106,"AXA Mandiri Financial Services, Corporate Solution | Jakarta Utara"
Seis Mal Olympic Garden,"Ground Floor No.36, Jl. Kawi No.24 Stadion Gajahyana Malang",0341-363288,"AXA Mandiri Financial Services, Corporate Solution | Jl. Kawi No.24 Stadion Gajahyana Malang"
Seis Mal Pondok Indah I,"Lt. Dasar No.012&013, Jl. Metro Pondok Indah Kav IV/TA Pondok Indah, Jakarta Selatan 12310",021-7506790/7692331,"AXA Mandiri Financial Services, Corporate Solution | Jakarta Selatan 12310"
Seis Mal Puri Indah,"Jl. Puri Agung, Puri Indah Ground Floor Unit 41A-41B jakarta 11610",021-5822376,"AXA Mandiri Financial Services, Corporate Solution | Puri Indah Ground Floor Unit 41A-41B jakarta 11610"
Seis Mal Ratu Indah Plaza,"First Floor No.140, Jl.Dr. Sam Ratulangi 35 Makassar 90132",0411-834501,"AXA Mandiri Financial Services, Corporate Solution | Jl.Dr. Sam Ratulangi 35 Makassar 90132"
Seis Mal Suncity Sidoarjo,"Lt. I Blok A No.35, Jl. Pahlawan Water Park Sidoarjo",031-8070977,"AXA Mandiri Financial Services, Corporate Solution | Jl. Pahlawan Water Park Sidoarjo"
Seis Mal Taman Anggrek,Jl. Letjen S.Parman Kav.21 Upper Ground Lot No.U-80 Slipi Jakarta 11470,021- 5639315,"AXA Mandiri Financial Services, Corporate Solution | Jl. Letjen S.Parman Kav.21 Upper Ground Lot No.U-80 Slipi Jakarta 11470"
Seis Malang Town Square,"Ground Floor Blok GS-50, Jl. Veteran No.2 Malang",0341-559148,"AXA Mandiri Financial Services, Corporate Solution | Jl. Veteran No.2 Malang"
Seis Mall Balekota,First Floor No. Ic-36 Jl. Jend. Sudirman Tangerang,021- 29519528,"AXA Mandiri Financial Services, Corporate Solution | First Floor No. Ic-36 Jl. Jend. Sudirman Tangerang"
Seis Mall Bassura City,Jl. Basuki Rahmat No.1A Cipinang Besar Selatan Jatinegara,021-22807668,"AXA Mandiri Financial Services, Corporate Solution | Jl. Basuki Rahmat No.1A Cipinang Besar Selatan Jatinegara"
Seis Mall Cinere,"Lt. I No.12, Jl. Raya Cinere No.1 Sawangan",021-7545164,"AXA Mandiri Financial Services, Corporate Solution | Jl. Raya Cinere No.1 Sawangan"
Seis Mall Jayapura,"Lt Dasar Unit Gf#12-13 Jl Sam Ratulangi, Bayangkara, Jayapura Utara, Papua 99112",0967-5142006,"AXA Mandiri Financial Services, Corporate Solution | Papua 99112"
Seis Mall Lippo Cikarang,"Lt. Dasar LG 48&48B, Jl. MH Thamrin Lippo Cikarang Bekasi 17550",021-8974641,"AXA Mandiri Financial Services, Corporate Solution | Jl. MH Thamrin Lippo Cikarang Bekasi 17550"
Seis Mall Pejaten Village,"Lt. Dasar No. G-18, Jl. Warung Jati Barat No.39 Jati Padang - Pasar Minggu",021-7827068,"AXA Mandiri Financial Services, Corporate Solution | Jl. Warung Jati Barat No.39 Jati Padang - Pasar Minggu"
Seis Mall SKA,"Lt. Dasar No.19, Jl.Soekarno Hatta/Jl.Tuanku Tambusai Pekanbaru",0761-864028,"AXA Mandiri Financial Services, Corporate Solution | Jl.Soekarno Hatta/Jl.Tuanku Tambusai Pekanbaru"
Seis Manado Bulevar Center,"Blok A4, Jl. Dr. Sam Ratulangi No.22A Manado",0431-859900,"AXA Mandiri Financial Services, Corporate Solution | Jl. Dr. Sam Ratulangi No.22A Manado"
Seis Manado Town Square,"Lt.Dasar No.GF-79, Jl. Piere Tendean Boulevard No.7 Manado",0431-8881048,"AXA Mandiri Financial Services, Corporate Solution | Jl. Piere Tendean Boulevard No.7 Manado"
Seis Margo City Square,"First Floor Unit FL1-40, Jl. Margonda Raya No.358 Depok",021-78870881,"AXA Mandiri Financial Services, Corporate Solution | Jl. Margonda Raya No.358 Depok"
Seis Mega Bekasi Hypermall,"Upper Ground No.111,112,117&118, Jl. Raya Ahmad Yani, Bekasi",021-88962421,"AXA Mandiri Financial Services, Corporate Solution | Bekasi"
Seis Mega Mall Batam Centre,"Ground Floor No.G275-276, Jl.Engku Putri Batam",0778-473529,"AXA Mandiri Financial Services, Corporate Solution | Jl.Engku Putri Batam"
Seis Megamal Manado,"Ground Floor GF-23 Kawasan Megamas, Jl. Piere Tendean Boulevard Manado",0431-879615,"AXA Mandiri Financial Services, Corporate Solution | Jl. Piere Tendean Boulevard Manado"
Seis Melawai IX No.28,"Jl. Melawai 9 No. 28, Blok M, Kebayoran Baru",021-7203709/7251458,"AXA Mandiri Financial Services, Corporate Solution | Kebayoran Baru"
Seis Melawai Raya No.65,Jl. Melawai Raya No.65 Kebayoran Baru,021-7262206/7262687,"AXA Mandiri Financial Services, Corporate Solution | Jl. Melawai Raya No.65 Kebayoran Baru"
Seis Metropolitan Mall,"Lt. I No.35, Jl. KH Noer Alie Bekasi",021-8848577,"AXA Mandiri Financial Services, Corporate Solution | Jl. KH Noer Alie Bekasi"
Seis Nagoya Hill Superblock,"GF Blok GR-05 No.10, Komplek Nagoya Hill Superblock, Jl. Teuku Umar, Nagoya-Batam",0778-7493693,"AXA Mandiri Financial Services, Corporate Solution | Nagoya-Batam"
Seis Neo Soho,First Floor No. L1-107 & L1-108 Jl. S. Parman Kav.28 Kel. Tj Duren Selatan,021-27893395,"AXA Mandiri Financial Services, Corporate Solution | First Floor No. L1-107 & L1-108 Jl. S. Parman Kav.28 Kel. Tj Duren Selatan"
Seis Opi Mall,"Jl.Gubernur H.A Bastari Jakabaring, Palembang",0711-5624047,"AXA Mandiri Financial Services, Corporate Solution | Palembang"
Seis Owndays Bali Galeria 2,"First Floor No.Cl Ext.02 Jl By Pass Ngurah Rai, Kuta, Badung, Bali 80361",0361-9599032,"AXA Mandiri Financial Services, Corporate Solution | Bali 80361"
Seis Owndays Bxc 2,"Lt Ug No Ug-S-44A, Cbd Bintaro Jaya Blok O-2, Bintaro Jaya Sektor VII,Tangerang 15227",021-39702858,"AXA Mandiri Financial Services, Corporate Solution | Tangerang 15227"
Seis Owndays Ciputra Jakarta,"Mal Ciputra Jakarta Lt Ug Unit 23-24 , Jln Arteri S Parman, Jakarta Barat",021-5631778,"AXA Mandiri Financial Services, Corporate Solution | Jakarta Barat"
Seis Owndays Grand Indonesia,"Grand Indonesia Sky Bridge Level 2-19. Jl. M.H. Thamrin No. 1, Menteng. Kb. Melati Jakarta Pusat",021-23581885,"AXA Mandiri Financial Services, Corporate Solution | Menteng. Kb. Melati Jakarta Pusat"
Seis Owndays Grand Metropolitan,"Jl. Kh Noer Ali, Bekasi",021-29577755,"AXA Mandiri Financial Services, Corporate Solution | Bekasi"
Seis Owndays Lippo Mall Puri,"Lippo Mall Puri Ug No. 18. Jalan Puri Indah Raya Blok U1, Puri Indah, Cbd Kembangan Selatan, Kembangan, Jakarta Barat",021-30424851,"AXA Mandiri Financial Services, Corporate Solution | Jakarta Barat"
Seis Owndays Mall Deltamas,"First Floor No.1-051 ,Hegarmukti, Central Cikarang, Bekasi Regency, Jawa Barat",021-39702825,"AXA Mandiri Financial Services, Corporate Solution | Jawa Barat"
Seis Owndays Pakuwon Mall Bekasi,"Lt1, unit no l1-30, Jl Raya Pekayon no 002, Pekayon Jaya, Bekasi 17531",021-38711201,"AXA Mandiri Financial Services, Corporate Solution | Bekasi 17531"
Seis Owndays Paris Van Java,"Paris Van Java, Glamour Level Unit Gl-C-17B, Jl. Sukajadi No.137-139 Bandung",022-82029151,"AXA Mandiri Financial Services, Corporate Solution | Jl. Sukajadi No.137-139 Bandung"
Seis Owndays Pim 3,"Jl. Metro Pondok Indah Kav.Iv/Ta Pondok Indah, Unit 226 Jakarta Selatan",021-27813708,"AXA Mandiri Financial Services, Corporate Solution | Unit 226 Jakarta Selatan"
Seis Owndays Puri Indah Mall 2,"Lt1, unit no p-135, Jl Puri Indah Raya, Jakarta Barat 11610",021-582-2376,"AXA Mandiri Financial Services, Corporate Solution | Jakarta Barat 11610"
Seis Owndays Senci,"Senayan City Lantai 3, Unit 47 & 57. Jalan Asia Afrika Lot 19, Rt 1 / Rw 3, Gelora, Tanah Abang Jakarta Pusat",021-72781558,"AXA Mandiri Financial Services, Corporate Solution | Tanah Abang Jakarta Pusat"
Seis Owndays Trans Cibubur,"Trans Studio Cibubur 1 No. 63. Jalan Alternatif Cibubur No. 230, Harjamukti, Cimanggis, Depok",021-39715547,"AXA Mandiri Financial Services, Corporate Solution | Depok"
Seis Pacific Place,"3rd Floor No. 3-41A, Jl. Jend Sudirman Kav.25 Jakarta Selatan 12190",021-57973117,"AXA Mandiri Financial Services, Corporate Solution | Jl. Jend Sudirman Kav.25 Jakarta Selatan 12190"
Seis Pakuwon Mal Yogyakarta,"Ground Floor Unit #60 Jl.Raya Ring Road Utara,Condong Catur, Sleman,Yogyakarta",0274-2924058,"AXA Mandiri Financial Services, Corporate Solution | Yogyakarta"
Seis Pakuwon Mall Bekasi,"Lt1, Unit no l1-28, Jl Raya Pekayon no 002, Pekayon Jaya, Bekasi 17530",021-38711223,"AXA Mandiri Financial Services, Corporate Solution | Bekasi 17530"
Seis Palembang Icon,"Lt. UG No.25, Jl. POM IX Palembang",0711-5649492,"AXA Mandiri Financial Services, Corporate Solution | Jl. POM IX Palembang"
Seis Palembang Indah Mal,"First Floor No.60-61, Jl. Letkol Iskandar No.18 Palembang",0711-7623080,"AXA Mandiri Financial Services, Corporate Solution | Jl. Letkol Iskandar No.18 Palembang"
Seis Palembang Square,Jl. Angkatan No. 45 Kel. Lorok Pakjo Kec. Ilir Barat I.,0711-380021,"AXA Mandiri Financial Services, Corporate Solution | Jl. Angkatan No. 45 Kel. Lorok Pakjo Kec. Ilir Barat I."
Seis Panakukkang Mal,Lt. 1 Unit B1-17&B1-18 Panakukkang Mas Boulevard Makassar,0411-423453,"AXA Mandiri Financial Services, Corporate Solution | Lt. 1 Unit B1-17&B1-18 Panakukkang Mas Boulevard Makassar"
Seis Paragon City Mall,"Ground Floor No.G-18, Jl. Pemuda No.118 Semarang",024-86579098,"AXA Mandiri Financial Services, Corporate Solution | Jl. Pemuda No.118 Semarang"
Seis Paris Van Java,"Ground Floor Unit G-B-52, Jl. Sukajadi No.137-139 Bandung",022-82063571,"AXA Mandiri Financial Services, Corporate Solution | Jl. Sukajadi No.137-139 Bandung"
Seis Pasar Baru,Jl. Pasar Baru No.101,021-3812849/3812429,"AXA Mandiri Financial Services, Corporate Solution | Jl. Pasar Baru No.101"
Seis Paskal 23,"Komp.Paskal Hyper Square, Jl.Pasir Kaliki 25-27 Blok D-18",-,"AXA Mandiri Financial Services, Corporate Solution | Jl.Pasir Kaliki 25-27 Blok D-18"
Seis Pentacity Balikpapan,"Jl. Jendral Sudirman no.48, Kelurahan Damai, Balikpapan Timur",0542-8521029,"AXA Mandiri Financial Services, Corporate Solution | Balikpapan Timur"
Seis Pesona Square Depok,"Pesona Square Depok Upper Ground No. Ug-11, Jl. Ir. Juanda No. 99 Depok",021-77817235,"AXA Mandiri Financial Services, Corporate Solution | Jl. Ir. Juanda No. 99 Depok"
Seis Phinisi Point,"Jl. Metro Tanjung Bunga No. 2. Pambungan , Mariso, Makassar",0411-8122499,"AXA Mandiri Financial Services, Corporate Solution | Makassar"
Seis PIK Avenue,Firs Floor Unit 1F-B2 Jl. Pantai Indah Kapuk Boulevard,021-22570908,"AXA Mandiri Financial Services, Corporate Solution | Firs Floor Unit 1F-B2 Jl. Pantai Indah Kapuk Boulevard"
Seis Plasa Ambarrukmo,"Lt. Dasar No.B 8&9, Jl. Laksda Adisucipto, Yogyakarta",0274-4331138,"AXA Mandiri Financial Services, Corporate Solution | Yogyakarta"
Seis Plasa Ekalokasari,"Ground Floor Unit G-17, Jl. Raya Pajajaran Bogor",0251-8362927,"AXA Mandiri Financial Services, Corporate Solution | Jl. Raya Pajajaran Bogor"
Seis Plasa Marina,"Lt. 1 No.D1-D3, Jl. Raya Magorejo Indah 97-99 Surabaya 60239",031-8431188,"AXA Mandiri Financial Services, Corporate Solution | Jl. Raya Magorejo Indah 97-99 Surabaya 60239"
Seis Plaza Atrium,JL. Senen Raya no.135 Lt.Dasar Unit G.43-44,021-3862967,"AXA Mandiri Financial Services, Corporate Solution | JL. Senen Raya no.135 Lt.Dasar Unit G.43-44"
Seis Plaza Balikpapan,"Lt.1 No.7, Jl. Jend Sudirman No.1 Klandasan Illir, Balikpapan",0542-413881,"AXA Mandiri Financial Services, Corporate Solution | Balikpapan"
Seis Plaza Bintaro Jaya,"Lt. I Blok F.05-06, Jl. Bintaro Utama III Bintaro Jaya Sektor IIIA Tangerang",021-7352701,"AXA Mandiri Financial Services, Corporate Solution | Jl. Bintaro Utama III Bintaro Jaya Sektor IIIA Tangerang"
Seis Plaza Blok M,"Unit UG 16-17, Jl. Bulungan No.76 Jakarta Selatan 12130",021-7209424,"AXA Mandiri Financial Services, Corporate Solution | Jl. Bulungan No.76 Jakarta Selatan 12130"
Seis Plaza Festival Kuningan,"Ug Unit 28-30 Jl. Hr Rasuna Said Kav. C-22, Jakarta Jakarta Selatan",021-2528430,"AXA Mandiri Financial Services, Corporate Solution | Jakarta Jakarta Selatan"
Seis Plaza Gajah Mada,JL. Gajah Mada No.19-26 Lt.Dasar No.47-49,021-6344648,"AXA Mandiri Financial Services, Corporate Solution | JL. Gajah Mada No.19-26 Lt.Dasar No.47-49"
Seis Plaza Indonesia,JL. M.H. Thamrin No.28-30 Lt.3 No.E14&E15 Jakarta Pusat 10350,021-31926924,"AXA Mandiri Financial Services, Corporate Solution | JL. M.H. Thamrin No.28-30 Lt.3 No.E14&E15 Jakarta Pusat 10350"
Seis Plaza Malioboro,"Upper Ground Unit 24A Jl. Malioboro No.52-58, Yogyakarta 55213",0274-5027009,"AXA Mandiri Financial Services, Corporate Solution | Yogyakarta 55213"
Seis Plaza Medan Fair,"Lt. 1/A1 No.93, Jl. Jend Gatot Subroto No.30 Medan",061-4140745,"AXA Mandiri Financial Services, Corporate Solution | Jl. Jend Gatot Subroto No.30 Medan"
Seis Plaza Mulia,"Ground Floor No.4&5, Jl. Bhayangkara No.58 Samarinda",0541-7770897,"AXA Mandiri Financial Services, Corporate Solution | Jl. Bhayangkara No.58 Samarinda"
Seis Plaza Renon,"First Floor No.1Fl-12, Jl Raya Puputan No.210 Renon, Denpasar Timur, Bali 80239",0361-251482,"AXA Mandiri Financial Services, Corporate Solution | Bali 80239"
Seis Plaza Semanggi,"Lt. UG No.36 Kawasan Bisnis Granada, Jl. Jenderal Sudirman Kav.50 Jakarta 12930",021-25536328,"AXA Mandiri Financial Services, Corporate Solution | Jl. Jenderal Sudirman Kav.50 Jakarta 12930"
Seis Plaza Senayan,"Jl. Asia Afrika No.8 Lt.2 No.257C,259C,230B & 232B Jakarta Pusat 10270",021-5725154/5725121,"AXA Mandiri Financial Services, Corporate Solution | 230B & 232B Jakarta Pusat 10270"
Seis Plaza Tunjungan 6 Signature,Jl. Embong Malang No. 21 - 31,031-99244002,"AXA Mandiri Financial Services, Corporate Solution | Jl. Embong Malang No. 21 - 31"
Seis Plaza Tunjungan III,"Lt.1 Unit 107-108, Jl. Basuki Rachmad No.8-12 Surabaya 60261",031-5468217,"AXA Mandiri Financial Services, Corporate Solution | Jl. Basuki Rachmad No.8-12 Surabaya 60261"
Seis Pluit Village,"Lt. Dasar No. G-65, Jl.Pluit Indah Jakarta",021-6683816,"AXA Mandiri Financial Services, Corporate Solution | Jl.Pluit Indah Jakarta"
Seis Pollux Mall Batam,"Ground Floor No. 26 ,Jl. Rs Barelang Batam Centre No.01 Teluk Tering, Batam Kota, Batam, Kepri 29461",0778-86200002,"AXA Mandiri Financial Services, Corporate Solution | Kepri 29461"
Seis Pondok Indah Mall 3,"Jl. Metro Pondok Indah Kav.Iv/Ta Pondok Indah, Lt. 2 No. 226 Jakarta Selatan",021-27814172,"AXA Mandiri Financial Services, Corporate Solution | Lt. 2 No. 226 Jakarta Selatan"
Seis Pondok Indah Mall II,"Lt. Dasar No. G-20, Jl. Kartika Utama V-TA",021-75920500,"AXA Mandiri Financial Services, Corporate Solution | Jl. Kartika Utama V-TA"
Seis Qmal Banjarbaru,"Ground Floor Blok G No. 34B Jl. Ahmad Yani Km 36,8 Banjarbaru Kalimantan Selatan 70714",0511-5933301,"AXA Mandiri Financial Services, Corporate Solution | 8 Banjarbaru Kalimantan Selatan 70714"
Seis Queen City Mall,"Lantai 1 No.L1-07, Jl Pemuda No.25-33,  Semarang 50139",024-30001188,"AXA Mandiri Financial Services, Corporate Solution | Semarang 50139"
Seis Resinda Park,"Jl. Resinda Raya No.2, Karawang Barat",0267-8407649,"AXA Mandiri Financial Services, Corporate Solution | Karawang Barat"
Seis Revo Town,"Ground Floor No Gf-36, Jl A Yani Kav.01, Pekayon Jaya, Bekasi Selatan 17148",021-82720274,"AXA Mandiri Financial Services, Corporate Solution | Bekasi Selatan 17148"
Seis Rita Supermal Purwokerto,Jl. Jend.Sudirman No.296,0281-7773559,"AXA Mandiri Financial Services, Corporate Solution | Jl. Jend.Sudirman No.296"
Seis Royal Plaza,"GF Unit B2 No.21-23, Jl. Achmad Yani No.16-18 Surabaya",031-8271339,"AXA Mandiri Financial Services, Corporate Solution | Jl. Achmad Yani No.16-18 Surabaya"
Seis Ruko Buah Batu,"Jl Buah Batu No 222C Rt.001/02 Cijagra, Lengkoang, Kota Bandung, Jawa Barat 40265",022-87356477,"AXA Mandiri Financial Services, Corporate Solution | Jawa Barat 40265"
Seis Ruko Canggu Bali,"Jl Pantai Batu Bolong No.99 Unit No.4, Canggu-Kuta Utara, Kab. Badung - Bali 80363",0361-3616077,"AXA Mandiri Financial Services, Corporate Solution | Kab. Badung - Bali 80363"
Seis Ruko  Seminyak,"Unit Toko Blok No.1, Jl Raya Seminyak No 27 Lingk. Seminyak, Kuta, Bali 80761",0361-737966,"AXA Mandiri Financial Services, Corporate Solution | Bali 80761"
Seis Samarinda Central Plaza,"Lt. 2 Unit # 212-213, Jl. P.Irian, Samarinda",0541-741591,"AXA Mandiri Financial Services, Corporate Solution | Samarinda"
