nama_rumah_sakit,alamat,telp,text
RS AWAL BROS A. YANI,"JL JEND A YANI NO 73, PEKANBARU",(0761)21000,Global Excel Indonesia | Individu | Cashless | RIAU | KOTA PEKANBARU | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | RIAU | KOTA PEKANBARU | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | RIAU | KOTA PEKANBARU | Rawat_Inap | Rawat_Jalan | - | Optik
KLINIK MULYA MEDIKA,"JL. RAYA JATI MULYA NO. 1, RT 05/06, DESA JATI MULYA, BEKASI",(021)8203272,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BEKASI | - | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BEKASI | - | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BEKASI | - | Rawat_Jalan | Rawat_Gigi | Optik
RS MULYA TANGERANG,"JL. KH. HASYIM ASHARI NO.18, SUDIMARA PINANG, TANGERANG",(021)7322445,Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA TANGERANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA TANGERANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA TANGERANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS MURNI ASIH,"JL RAYA BOJONGNANGKA MEDANG, TANGERANG",(021)5470263,Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA TANGERANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA TANGERANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA TANGERANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS MURNI TEGUH ERIA,"JL. KH. AHMAD DAHLAN NO. 163, SUKAJADI, PEKANBARU",(0761)23100,Global Excel Indonesia | Individu | Cashless | RIAU | KOTA PEKANBARU | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | RIAU | KOTA PEKANBARU | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | RIAU | KOTA PEKANBARU | Rawat_Inap | Rawat_Jalan | - | Optik
RS MURNI TEGUH HORAS INSANI,"JL. MEDAN KM 2,5, PEMATANG SIANTAR",(0622)433444,Global Excel Indonesia | Individu | Cashless | SUMATERA UTARA | KOTA PEMATANGSIANTAR | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | SUMATERA UTARA | KOTA PEMATANGSIANTAR | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | SUMATERA UTARA | KOTA PEMATANGSIANTAR | Rawat_Inap | Rawat_Jalan | - | Optik
KLINIK MUSTIKA HUSADA SETU,"RUKO MUSTIKA GRANDE BLOK J, NO 5 DS BURANGKENG SETU, BEKASI",(021)29082098,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BEKASI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BEKASI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BEKASI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS MUSTIKA MEDIKA,"JL KELAPA DUA NO 110, PADURENAN, BEKASI",(021)82622530,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BEKASI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BEKASI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BEKASI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RSIA MUTIARA AINI,"JL BATU AJI II, BLOK A NO 1, KEC BULIANG, BATAM",(0778)332002,Global Excel Indonesia | Individu | Cashless | KEPULAUAN RIAU | KOTA BATAM | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | KEPULAUAN RIAU | KOTA BATAM | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | KEPULAUAN RIAU | KOTA BATAM | Rawat_Inap | Rawat_Jalan | - | Optik
RSIA MUTIARA BUNDA CILEGON,"JL. SULTAN AGUNG TIRTAYASA, NO. 86, CILEGON",(0254)399988,Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA CILEGON | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA CILEGON | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA CILEGON | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RSU MUTIA SARI,"JL. BATHIN BETUAH NO. 1A, DURI, PEKANBARU, DURI",(0765)92080,Global Excel Indonesia | Individu | Cashless | RIAU | KABUPATEN BENGKALIS | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | RIAU | KABUPATEN BENGKALIS | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | RIAU | KABUPATEN BENGKALIS | Rawat_Inap | Rawat_Jalan | - | Optik
KLINIK NAFILA MEDIKA,"JL. PRINGGODANI BLOK J-47PERUM, TELUK JAMBE, KARAWANG BARAT  , KARAWANG",(002)678456419,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN KARAWANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN KARAWANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN KARAWANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS NAHDLATUL ULAMA BANYUWANGI,"JL. RAYA MANGIR, ROGOJAMPI, KABUPATEN BANYUWANGI, BANYUWANGI",(0333)632965,Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KABUPATEN BANYUWANGI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KABUPATEN BANYUWANGI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KABUPATEN BANYUWANGI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS NAHDLATUL ULAMA TUBAN,"JL LETDA SUCIPTO NO 211, TUBAN",(0356)328299,Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KABUPATEN TUBAN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KABUPATEN TUBAN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KABUPATEN TUBAN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RSIA NASANA PURA,"JL JEND H.M. SOEHARTO, NO. 10, PALU, PALU",(045)1483065,Global Excel Indonesia | Individu | Cashless | SULAWESI TENGAH | KOTA PALU | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | SULAWESI TENGAH | KOTA PALU | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | SULAWESI TENGAH | KOTA PALU | Rawat_Inap | Rawat_Jalan | - | Optik
KLINIK UTAMA RAWAT INAP NAURA MEDIKA,"JL KEMAKMURAN RAYA NO 37, DEPOK II TENGAH, SUKMAJAYA, DEPOK",(021)77827515,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA DEPOK | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA DEPOK | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA DEPOK | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
KLINIK RAWAT INAP NIRWANA MEDICAL CENTRE,"JL BHAYANGKARA NO 09, RT 001 RW 017 DESA CITEPUS, SUKABUMI",(026)66446183,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA SUKABUMI | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA SUKABUMI | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA SUKABUMI | Rawat_Inap | Rawat_Jalan | - | Optik
RSIA NURAIDA,"JL ACHMAD SOBANA NO 87, NO. 87 RT. 01/06 TEGAL GUNDIL, BOGOR",(0251)8376009,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN BOGOR | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN BOGOR | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN BOGOR | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS ORTHOPAEDI PURWOKERTO,"JL SOEPARDJO ROESTAM NO 99, PURWOKERTO",(0281)6844166,Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KABUPATEN BANYUMAS | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KABUPATEN BANYUMAS | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KABUPATEN BANYUMAS | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS ORTOPEDI PROF.DR.R.SOEHARSO SURAKARTA,"JL JEND A YANI PABELAN, SURAKARTA",(0271)714458,Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KOTA SURAKARTA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KOTA SURAKARTA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KOTA SURAKARTA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
KLINIK RAWAT INAP OTO MEDIKA,"JL BUNGA RAYA UJUNG NO 86, BALOI INDAH, BATAM",(0778)421640,Global Excel Indonesia | Individu | Cashless | KEPULAUAN RIAU | KOTA BATAM | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | KEPULAUAN RIAU | KOTA BATAM | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | KEPULAUAN RIAU | KOTA BATAM | Rawat_Inap | Rawat_Jalan | - | Optik
KLINIK PALAPA DENTISTS,"JL PALAPA I NO 4, PASAR MINGGU, JAKARTA SELATAN",(021)7806291,Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA SELATAN | - | - | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA SELATAN | - | - | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA SELATAN | - | - | Rawat_Gigi | Optik
RSIA PALA RAYA,"JL PALA RAYA NO 11A, MEJASEM, TEGAL",(0283)3318711,Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KABUPATEN TEGAL | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KABUPATEN TEGAL | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KABUPATEN TEGAL | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS PAMANUKAN MEDICAL CENTER,"JL RAYA RANCASARI KM 4, PAMANUKAN, SUBANG",(0260)540033,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN SUBANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN SUBANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN SUBANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
KLINIK PAMULANG MEDICAL CENTRE,"JL. RAYA PAMULANG BLOK D2/ NO2, PAMULANG, TANGERANG",(021)7405317,Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA TANGERANG | - | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA TANGERANG | - | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA TANGERANG | - | Rawat_Jalan | Rawat_Gigi | Optik
KLINIK PANACEA BALIKPAPAN,"KOMPLEK MAL FANTASI BLOK AB 2, BALIKPAPAN BARU, BALIKPAPAN",(0542)877898,Global Excel Indonesia | Individu | Cashless | KALIMANTAN TIMUR | KOTA BALIKPAPAN | - | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | KALIMANTAN TIMUR | KOTA BALIKPAPAN | - | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | KALIMANTAN TIMUR | KOTA BALIKPAPAN | - | Rawat_Jalan | Rawat_Gigi | Optik
RS PANTI NIRMALA,"JL KEBALEN WETAN 2-8, MALANG, JAWA TIMUR",(0341)331100,Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KOTA MALANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KOTA MALANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KOTA MALANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS PANTI SECANTI,"JL RAYA GISTING KEC. GISTING, TANGGAMUS, BANDAR LAMPUNG",(0729)347553,Global Excel Indonesia | Individu | Cashless | LAMPUNG | KABUPATEN LAMPUNG SELATAN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | LAMPUNG | KABUPATEN LAMPUNG SELATAN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | LAMPUNG | KABUPATEN LAMPUNG SELATAN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS PANTI WALUYO YAKKUM SURAKARTA,"JL. JEND. A. YANI 1, SURAKARTA",(0271)712077,Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KOTA SURAKARTA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KOTA SURAKARTA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KOTA SURAKARTA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS PANTI WILASA DR CIPTO,"JL. DR. CIPTO 50, SEMARANG",(024)3546040,Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KOTA SEMARANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KOTA SEMARANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KOTA SEMARANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RSU PARAMA SIDHI,"JL. AHMAD YANI NO.171 A, BAKTISERAGA, BULELENG",(0362)29787,Global Excel Indonesia | Individu | Cashless | BALI | KABUPATEN BULELENG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BALI | KABUPATEN BULELENG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BALI | KABUPATEN BULELENG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS PARU DR H A ROTINSULU,"JL BUKIT JARIAN NO 40, CIDADAP, BANDUNG",(0222)034446,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BANDUNG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BANDUNG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BANDUNG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS PATRIA IKKT,"JL. CENDRAWASIH NO. 1, KOMP. DEPHAN/MABES TNI,SLIPI, JAKARTA BARAT",(021)5308981,Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
KLINIK PEDULI SEHAT,"JL PILAR SUKATANI DS SUKARAYA, KP SUKAMANTRI 62 RT003/03, KABUPATEN BEKASI",(021)22182666,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN BEKASI | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN BEKASI | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN BEKASI | - | Rawat_Jalan | - | Optik
RS PEKANBARU MEDICAL CENTER (PMC),"JL. LEMBAGA PEMASYARAKATAN 25, PEKANBARU",(0761)848100,Global Excel Indonesia | Individu | Cashless | RIAU | KOTA PEKANBARU | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | RIAU | KOTA PEKANBARU | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | RIAU | KOTA PEKANBARU | Rawat_Inap | Rawat_Jalan | - | Optik
RS PELABUHAN CIREBON,"JL. SISINGAMANGARAJA NO.45, CIREBON",(0231)205657,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA CIREBON | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA CIREBON | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA CIREBON | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS PELNI,"JL. AIPDA KS TUBUN 92-94, JAKARTA BARAT",(021)5306901,Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
"PERMATA BUNDA GRIYA ASRI 2, RB & KLINIK 24 JAM","GRIYA PERMATA ASRI BLOK D8, NO9-10, DALUNG, CIPOCOK JAYA, SERANG",(025)4228894,Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA SERANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA SERANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA SERANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS PERMATA BUNDA MALANG,"JL. SOEKARNO HATTA NO.75,, MALANG",(0341)487487,Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KOTA MALANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KOTA MALANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KOTA MALANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RSIA PERMATA DALIMA SERPONG (EX PUTRA DALIMA),"BUMI SERPONG DAMAI SEKTOR 1-2, BLOK K/5-UA/26-27, TANGERANG",(002)15376002,Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA TANGERANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA TANGERANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA TANGERANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
KLINIK PERMATA HATI CITAYAM DEPOK,"RUKO PERMATA DEPOK NO 5-6, CITAYAM, DEPOK",(021)77200935,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA DEPOK | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA DEPOK | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA DEPOK | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS PERMATA HATI DURI,"JL. JEND. SUDIRMAN NO.37, DURI",(0765)598101,Global Excel Indonesia | Individu | Cashless | RIAU | KABUPATEN BENGKALIS | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | RIAU | KABUPATEN BENGKALIS | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | RIAU | KABUPATEN BENGKALIS | Rawat_Inap | Rawat_Jalan | - | Optik
RSIA PERMATA HATI MAKASSAR,"JL TALAMANREA RAYA POROS BTP, BLOK 10M NO 9-10, MAKASSAR",(0411)4774085,Global Excel Indonesia | Individu | Cashless | SULAWESI SELATAN | KOTA MAKASSAR | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | SULAWESI SELATAN | KOTA MAKASSAR | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | SULAWESI SELATAN | KOTA MAKASSAR | Rawat_Inap | Rawat_Jalan | - | Optik
RSU PERMATA HATI MUARA BUNGO,"JL LEBAI HASAN RT06/02, KEL SUNGAI PINANG/BUNGO DANI, MUARA BUNGO",(0747)7331122,Global Excel Indonesia | Individu | Cashless | JAMBI | KABUPATEN BUNGO | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAMBI | KABUPATEN BUNGO | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAMBI | KABUPATEN BUNGO | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS PERMATA HATI PALANGKARAYA,"JL BELIANG NO 21, PALANGKARAYA",(0536)4268222,Global Excel Indonesia | Individu | Cashless | KALIMANTAN TENGAH | KOTA PALANGKA RAYA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | KALIMANTAN TENGAH | KOTA PALANGKA RAYA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | KALIMANTAN TENGAH | KOTA PALANGKA RAYA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS PERMATA JONGGOL,"JL RAYA PERMATA JONGGOL, SUKAMANAH, BOGOR",(0218)9931222,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN BOGOR | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN BOGOR | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN BOGOR | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS PERMATA KELUARGA KARAWANG,"JL GALUH MAS RAYA BLOK IV-A, SUKARAJA, TELUK JAMBE, KARAWANG",(0267)6491199,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN KARAWANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN KARAWANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN KARAWANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RSU PERMATA MADINA PANYABUNGAN,"JL MERDEKA 155, PANYABUNGAN, MANDAILING",(0636)20279,Global Excel Indonesia | Individu | Cashless | SUMATERA UTARA | KABUPATEN MANDAILING NATAL | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | SUMATERA UTARA | KABUPATEN MANDAILING NATAL | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | SUMATERA UTARA | KABUPATEN MANDAILING NATAL | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS PERMATA MEDIKA SEMARANG,"JL. MOCH.ICHSAN NO. 93-97, NGALIYAN, SEMARANG",(024)7625005,Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KOTA SEMARANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KOTA SEMARANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KOTA SEMARANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RSIA PERMATA SARANA HUSADA,"PAMULANG PERMAI BLOK D3 NO 1-3, PAMULANG, TANGERANG",(021)7407421,Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA TANGERANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA TANGERANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA TANGERANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
